date,promotion,match_type,match_card,match_event
2023-06-03,All Elite Wrestling,,"<a href=""?id=2&amp;nr=24607&amp;name=Hook"">Hook</a> &amp; <a href=""?id=28&amp;nr=38&amp;name=The+Hardys"">The Hardys</a> (<a href=""?id=2&amp;nr=891&amp;name=Jeff+Hardy"">Jeff Hardy</a> &amp; <a href=""?id=2&amp;nr=99&amp;name=Matt+Hardy"">Matt Hardy</a>) defeat <a href=""?id=2&amp;nr=11618&amp;name=Big+Bill"">Big Bill</a>, <a href=""?id=2&amp;nr=7216&amp;name=Ethan+Page"">Ethan Page</a> &amp; <a href=""?id=2&amp;nr=20399&amp;name=Preston+Vance"">Preston Vance</a>","<a href=""?id=1&amp;nr=365538"">AEW House Rules Tour</a> - House Show @ Von Braun Center - Propst Arena in Huntsville, Alabama, USA"
2023-06-03,All Elite Wrestling,,"<a href=""?id=2&amp;nr=564&amp;name=Jeff+Jarrett"">Jeff Jarrett</a> &amp; <a href=""?id=2&amp;nr=25702&amp;name=Satnam+Singh"">Satnam Singh</a> defeat <a href=""?id=28&amp;nr=3784&amp;name=The+Boys"">The Boys</a> (<a href=""?id=2&amp;nr=10227&amp;name=Brandon++"">Brandon</a> &amp; <a href=""?id=2&amp;nr=10228&amp;name=Brent"">Brent</a>)","<a href=""?id=1&amp;nr=365538"">AEW House Rules Tour</a> - House Show @ Von Braun Center - Propst Arena in Huntsville, Alabama, USA"
2023-06-03,All Elite Wrestling,,"<a href=""?id=2&amp;nr=10592&amp;name=Juice+Robinson"">Juice Robinson</a> defeats <a href=""?id=2&amp;nr=3463&amp;name=Pat+Buck"">Pat Buck</a>","<a href=""?id=1&amp;nr=365538"">AEW House Rules Tour</a> - House Show @ Von Braun Center - Propst Arena in Huntsville, Alabama, USA"
2023-06-03,All Elite Wrestling,,"<a href=""?id=2&amp;nr=19255&amp;name=Kyle+Fletcher"">Kyle Fletcher</a> defeats Alejandro","<a href=""?id=1&amp;nr=365538"">AEW House Rules Tour</a> - House Show @ Von Braun Center - Propst Arena in Huntsville, Alabama, USA"
2023-06-03,All Elite Wrestling,,"<a href=""?id=2&amp;nr=19761&amp;name=Max+Caster"">Max Caster</a> defeats <a href=""?id=2&amp;nr=5741&amp;name=Tony+Nese"">Tony Nese</a>","<a href=""?id=1&amp;nr=365538"">AEW House Rules Tour</a> - House Show @ Von Braun Center - Propst Arena in Huntsville, Alabama, USA"
2023-06-03,All Elite Wrestling,,"<a href=""?id=2&amp;nr=18849&amp;name=Darby+Allin"">Darby Allin</a> &amp; <a href=""?id=2&amp;nr=2813&amp;name=Orange+Cassidy"">Orange Cassidy</a> defeat <a href=""?id=29&amp;nr=3128&amp;name=The+Jericho+Appreciation+Society"">The Jericho Appreciation Society</a> (<a href=""?id=2&amp;nr=20642&amp;name=Daniel+Garcia"">Daniel Garcia</a> &amp; <a href=""?id=2&amp;nr=2243&amp;name=Matt+Menard"">Matt Menard</a>)","<a href=""?id=1&amp;nr=365538"">AEW House Rules Tour</a> - House Show @ Von Braun Center - Propst Arena in Huntsville, Alabama, USA"
2023-06-03,All Elite Wrestling,,"<a href=""?id=2&amp;nr=12277&amp;name=Powerhouse+Hobbs"">Powerhouse Hobbs</a> defeats <a href=""?id=2&amp;nr=3190&amp;name=Shawn+Spears"">Shawn Spears</a>","<a href=""?id=1&amp;nr=365538"">AEW House Rules Tour</a> - House Show @ Von Braun Center - Propst Arena in Huntsville, Alabama, USA"
2023-06-03,All Elite Wrestling,"<a href=""?id=5&amp;nr=5224"">AEW TBS Title</a>: ","<a href=""?id=2&amp;nr=20328&amp;name=Kris+Statlander"">Kris Statlander</a> (c) defeats <a href=""?id=2&amp;nr=21128&amp;name=Lady+Frost"">Lady Frost</a>","<a href=""?id=1&amp;nr=365538"">AEW House Rules Tour</a> - House Show @ Von Braun Center - Propst Arena in Huntsville, Alabama, USA"
2023-06-03,All Elite Wrestling,"<a href=""?id=5&amp;nr=4370"">AEW Women's World Title</a> Four Way: ","<a href=""?id=2&amp;nr=15978&amp;name=Toni+Storm"">Toni Storm</a> (c) defeats <a href=""?id=2&amp;nr=22619&amp;name=Anna+Jay+AS"">Anna Jay AS</a> and <a href=""?id=2&amp;nr=17188&amp;name=Dr.+Britt+Baker+DMD"">Dr. Britt Baker DMD</a> and <a href=""?id=2&amp;nr=23406&amp;name=Skye+Blue"">Skye Blue</a>","<a href=""?id=1&amp;nr=365538"">AEW House Rules Tour</a> - House Show @ Von Braun Center - Propst Arena in Huntsville, Alabama, USA"
2023-06-02,All Elite Wrestling,,"<a href=""?id=2&amp;nr=18849&amp;name=Darby+Allin"">Darby Allin</a> &amp; <a href=""?id=2&amp;nr=2813&amp;name=Orange+Cassidy"">Orange Cassidy</a> defeat <a href=""?id=2&amp;nr=11618&amp;name=Big+Bill"">Big Bill</a> &amp; <a href=""?id=2&amp;nr=7216&amp;name=Ethan+Page"">Ethan Page</a>","<a href=""?id=1&amp;nr=365537"">AEW House Rules Tour</a> - House Show @ Cadence Bank Arena in Tupelo, Mississippi, USA"
