date,promotion,match_type,match_card,match_event
2022-03-06,All Elite Wrestling,,"<a href=""?id=2&amp;nr=902&amp;name=Eddie+Kingston"">Eddie Kingston</a> defeats <a href=""?id=2&amp;nr=758&amp;name=Chris+Jericho"">Chris Jericho</a> (14:12)","<a href=""?id=1&amp;nr=250459"">AEW Revolution 2022</a> - Pay Per View @ Addition Financial Arena in Orlando, Florida, USA"
2022-03-06,All Elite Wrestling,,"<a href=""?id=2&amp;nr=3940&amp;name=Jon+Moxley"">Jon Moxley</a> defeats <a href=""?id=2&amp;nr=86&amp;name=Bryan+Danielson"">Bryan Danielson</a> (20:44)","<a href=""?id=1&amp;nr=250459"">AEW Revolution 2022</a> - Pay Per View @ Addition Financial Arena in Orlando, Florida, USA"
2022-03-06,All Elite Wrestling,"<a href=""?id=5&amp;nr=5224"">AEW TBS Title</a>: ","<a href=""?id=2&amp;nr=23445&amp;name=Jade+Cargill"">Jade Cargill</a> (c) defeats <a href=""?id=2&amp;nr=18241&amp;name=Tay+Conti"">Tay Conti</a> (7:03)","<a href=""?id=1&amp;nr=250459"">AEW Revolution 2022</a> - Pay Per View @ Addition Financial Arena in Orlando, Florida, USA"
2022-03-06,All Elite Wrestling,"<a href=""?id=5&amp;nr=4370"">AEW Women's World Title</a>: ","<a href=""?id=2&amp;nr=17188&amp;name=Dr.+Britt+Baker+DMD"">Dr. Britt Baker DMD</a> (c) defeats <a href=""?id=2&amp;nr=16209&amp;name=Thunder+Rosa"">Thunder Rosa</a> (17:30)","<a href=""?id=1&amp;nr=250459"">AEW Revolution 2022</a> - Pay Per View @ Addition Financial Arena in Orlando, Florida, USA"
2022-03-06,All Elite Wrestling,"<a href=""?id=5&amp;nr=4392"">AEW World Tag Team Title</a> Three Way: ","<a href=""?id=28&amp;nr=8746&amp;name=Jurassic+Express"">Jurassic Express</a> (<a href=""?id=2&amp;nr=18237&amp;name=Jungle+Boy+"">Jungle Boy</a> &amp; <a href=""?id=2&amp;nr=11924&amp;name=Luchasaurus"">Luchasaurus</a>) (c) defeat <a href=""?id=28&amp;nr=4837&amp;name=reDRagon"">reDRagon</a> (<a href=""?id=2&amp;nr=1768&amp;name=Bobby+Fish"">Bobby Fish</a> &amp; <a href=""?id=2&amp;nr=4006&amp;name=Kyle+O'Reilly"">Kyle O'Reilly</a>) and <a href=""?id=28&amp;nr=1030&amp;name=The+Young+Bucks"">The Young Bucks</a> (<a href=""?id=2&amp;nr=4739&amp;name=Matt+Jackson"">Matt Jackson</a> &amp; <a href=""?id=2&amp;nr=4740&amp;name=Nick+Jackson"">Nick Jackson</a>) (19:11)","<a href=""?id=1&amp;nr=250459"">AEW Revolution 2022</a> - Pay Per View @ Addition Financial Arena in Orlando, Florida, USA"
2022-03-06,All Elite Wrestling,"<a href=""?id=5&amp;nr=4331"">AEW World Title</a>: ","<a href=""?id=2&amp;nr=11161&amp;name=Adam+Page"">Adam Page</a> (c) defeats <a href=""?id=2&amp;nr=7142&amp;name=Adam+Cole"">Adam Cole</a> (26:00)","<a href=""?id=1&amp;nr=250459"">AEW Revolution 2022</a> - Pay Per View @ Addition Financial Arena in Orlando, Florida, USA"
2022-03-06,All Elite Wrestling,Dog Collar: ,"<a href=""?id=2&amp;nr=80&amp;name=CM+Punk"">CM Punk</a> defeats <a href=""?id=2&amp;nr=17012&amp;name=MJF"">MJF</a> (26:48)","<a href=""?id=1&amp;nr=250459"">AEW Revolution 2022</a> - Pay Per View @ Addition Financial Arena in Orlando, Florida, USA"
2022-03-06,All Elite Wrestling,Face Of The Revolution Ladder: ,"<a href=""?id=2&amp;nr=16006&amp;name=Wardlow"">Wardlow</a> defeats <a href=""?id=2&amp;nr=820&amp;name=Christian+Cage"">Christian Cage</a> and <a href=""?id=2&amp;nr=13732&amp;name=Keith+Lee"">Keith Lee</a> and <a href=""?id=2&amp;nr=2813&amp;name=Orange+Cassidy"">Orange Cassidy</a> and <a href=""?id=2&amp;nr=12277&amp;name=Powerhouse+Hobbs"">Powerhouse Hobbs</a> and <a href=""?id=2&amp;nr=14007&amp;name=Ricky+Starks"">Ricky Starks</a> (18:18)","<a href=""?id=1&amp;nr=250459"">AEW Revolution 2022</a> - Pay Per View @ Addition Financial Arena in Orlando, Florida, USA"
2022-03-06,All Elite Wrestling,Tornado: ,"<a href=""?id=2&amp;nr=18849&amp;name=Darby+Allin"">Darby Allin</a>, <a href=""?id=2&amp;nr=15284&amp;name=Sammy+Guevara"">Sammy Guevara</a> &amp; <a href=""?id=2&amp;nr=263&amp;name=Sting"">Sting</a> defeat <a href=""?id=29&amp;nr=2914&amp;name=AHFO"">AHFO</a> (<a href=""?id=2&amp;nr=5596&amp;name=Andrade+El+Idolo"">Andrade El Idolo</a>, <a href=""?id=2&amp;nr=18653&amp;name=Isiah+Kassidy"">Isiah Kassidy</a> &amp; <a href=""?id=2&amp;nr=99&amp;name=Matt+Hardy"">Matt Hardy</a>) (13:01)","<a href=""?id=1&amp;nr=250459"">AEW Revolution 2022</a> - Pay Per View @ Addition Financial Arena in Orlando, Florida, USA"
2021-11-13,All Elite Wrestling,,"<a href=""?id=2&amp;nr=80&amp;name=CM+Punk"">CM Punk</a> defeats <a href=""?id=2&amp;nr=902&amp;name=Eddie+Kingston"">Eddie Kingston</a> (11:07)","<a href=""?id=1&amp;nr=313401"">AEW Full Gear 2021</a> - Pay Per View @ Target Center in Minneapolis, Minnesota, USA"
