date,promotion,match_type,match_card,match_event
27.04.2022,All Elite Wrestling,,"<a href=""?id=29&amp;nr=3139&amp;name=The+Blackpool+Combat+Club"">The Blackpool Combat Club</a> (<a href=""?id=2&amp;nr=86&amp;name=Bryan+Danielson"">Bryan Danielson</a>, <a href=""?id=2&amp;nr=3940&amp;name=Jon+Moxley"">Jon Moxley</a> &amp; <a href=""?id=2&amp;nr=19733&amp;name=Wheeler+Yuta"">Wheeler Yuta</a>) defeat <a href=""?id=29&amp;nr=2915&amp;name=The+Factory++"">The Factory</a> (<a href=""?id=2&amp;nr=9087&amp;name=Aaron+Solo"">Aaron Solo</a>, <a href=""?id=2&amp;nr=18841&amp;name=Nick+Comoroto"">Nick Comoroto</a> &amp; <a href=""?id=2&amp;nr=7870&amp;name=QT+Marshall"">QT Marshall</a>) (8:49)","<a href=""?id=1&amp;nr=337160"">AEW Dynamite #134</a> - TV-Show @ Liacouras Center in Philadelphia, Pennsylvania, USA"
27.04.2022,All Elite Wrestling,,"<a href=""?id=29&amp;nr=2366&amp;name=The+Undisputed+Elite"">The Undisputed Elite</a> (<a href=""?id=2&amp;nr=7142&amp;name=Adam+Cole"">Adam Cole</a>, <a href=""?id=2&amp;nr=1768&amp;name=Bobby+Fish"">Bobby Fish</a>, <a href=""?id=2&amp;nr=4006&amp;name=Kyle+O'Reilly"">Kyle O'Reilly</a>, <a href=""?id=2&amp;nr=4739&amp;name=Matt+Jackson"">Matt Jackson</a> &amp; <a href=""?id=2&amp;nr=4740&amp;name=Nick+Jackson"">Nick Jackson</a>) defeat <a href=""?id=2&amp;nr=24354&amp;name=Brock+Anderson"">Brock Anderson</a>, <a href=""?id=2&amp;nr=20610&amp;name=Dante+Martin"">Dante Martin</a>, <a href=""?id=2&amp;nr=22366&amp;name=Lee+Johnson"">Lee Johnson</a> &amp; <a href=""?id=28&amp;nr=9709&amp;name=The+Varsity+Blonds"">The Varsity Blonds</a> (<a href=""?id=2&amp;nr=20065&amp;name=Brian+Pillman+Jr."">Brian Pillman Jr.</a> &amp; <a href=""?id=2&amp;nr=18858&amp;name=Griff+Garrison"">Griff Garrison</a>) (6:28)","<a href=""?id=1&amp;nr=337160"">AEW Dynamite #134</a> - TV-Show @ Liacouras Center in Philadelphia, Pennsylvania, USA"
27.04.2022,All Elite Wrestling,,"<a href=""?id=2&amp;nr=16006&amp;name=Wardlow"">Wardlow</a> defeats <a href=""?id=2&amp;nr=1062&amp;name=Lance+Archer"">Lance Archer</a> (5:29)","<a href=""?id=1&amp;nr=337160"">AEW Dynamite #134</a> - TV-Show @ Liacouras Center in Philadelphia, Pennsylvania, USA"
27.04.2022,All Elite Wrestling,,"<a href=""?id=2&amp;nr=13732&amp;name=Keith+Lee"">Keith Lee</a> defeats <a href=""?id=2&amp;nr=23125&amp;name=Colten+Gunn"">Colten Gunn</a> (5:57)","<a href=""?id=1&amp;nr=337161"">AEW Rampage #39</a> - TV-Show @ Liacouras Center in Philadelphia, Pennsylvania, USA"
27.04.2022,All Elite Wrestling,,"<a href=""?id=29&amp;nr=3161&amp;name=The+Baddies"">The Baddies</a> (<a href=""?id=2&amp;nr=23445&amp;name=Jade+Cargill"">Jade Cargill</a>, <a href=""?id=2&amp;nr=17786&amp;name=Kiera+Hogan"">Kiera Hogan</a> &amp; <a href=""?id=2&amp;nr=22271&amp;name=Red+Velvet"">Red Velvet</a>) defeat <a href=""?id=2&amp;nr=23406&amp;name=Skye+Blue"">Skye Blue</a>, <a href=""?id=2&amp;nr=20105&amp;name=Trish+Adora"">Trish Adora</a> &amp; <a href=""?id=2&amp;nr=17272&amp;name=Willow+Nightingale"">Willow Nightingale</a> (2:46)","<a href=""?id=1&amp;nr=337161"">AEW Rampage #39</a> - TV-Show @ Liacouras Center in Philadelphia, Pennsylvania, USA"
27.04.2022,All Elite Wrestling,,"<a href=""?id=2&amp;nr=22619&amp;name=Anna+Jay"">Anna Jay</a> &amp; <a href=""?id=2&amp;nr=20328&amp;name=Kris+Statlander"">Kris Statlander</a> defeat <a href=""?id=2&amp;nr=4629&amp;name=Emi+Sakura"">Emi Sakura</a> &amp; <a href=""?id=2&amp;nr=17025&amp;name=Nyla+Rose"">Nyla Rose</a>","<a href=""?id=1&amp;nr=341850"">AEW Dark: Elevation #61</a> - TV-Show @ Liacouras Center in Philadelphia, Pennsylvania, USA"
27.04.2022,All Elite Wrestling,,"<a href=""?id=2&amp;nr=23823&amp;name=Anthony+Ogogo"">Anthony Ogogo</a> defeats Goldy by referee's decision","<a href=""?id=1&amp;nr=341850"">AEW Dark: Elevation #61</a> - TV-Show @ Liacouras Center in Philadelphia, Pennsylvania, USA"
27.04.2022,All Elite Wrestling,,"<a href=""?id=2&amp;nr=24024&amp;name=Julia+Hart"">Julia Hart</a> defeats <a href=""?id=2&amp;nr=23899&amp;name=Abby+Jane"">Abby Jane</a>","<a href=""?id=1&amp;nr=341850"">AEW Dark: Elevation #61</a> - TV-Show @ Liacouras Center in Philadelphia, Pennsylvania, USA"
27.04.2022,All Elite Wrestling,,"<a href=""?id=2&amp;nr=13073&amp;name=Konosuke+Takeshita"">Konosuke Takeshita</a> defeats <a href=""?id=2&amp;nr=4331&amp;name=Rhett+Titus"">Rhett Titus</a>","<a href=""?id=1&amp;nr=341850"">AEW Dark: Elevation #61</a> - TV-Show @ Liacouras Center in Philadelphia, Pennsylvania, USA"
27.04.2022,All Elite Wrestling,,"<a href=""?id=2&amp;nr=19761&amp;name=Max+Caster"">Max Caster</a> defeats <a href=""?id=2&amp;nr=20009&amp;name=Zack+Clayton"">Zack Clayton</a>","<a href=""?id=1&amp;nr=341850"">AEW Dark: Elevation #61</a> - TV-Show @ Liacouras Center in Philadelphia, Pennsylvania, USA"
