date,promotion,match_type,match_card,match_event
2022-06-05,World Wrestling Entertainment,,"<a href=""?id=2&amp;nr=1499&amp;name=Kevin+Owens"">Kevin Owens</a> defeats <a href=""?id=2&amp;nr=7461&amp;name=Ezekiel"">Ezekiel</a> (9:21)","<a href=""?id=1&amp;nr=326934"">WWE Hell In A Cell 2022</a> - Pay Per View @ Allstate Arena in Rosemont, Illinois, USA"
2022-06-05,World Wrestling Entertainment,Hell In A Cell: ,"<a href=""?id=2&amp;nr=3686&amp;name=Cody+Rhodes"">Cody Rhodes</a> defeats <a href=""?id=2&amp;nr=2250&amp;name=Seth+Rollins"">Seth Rollins</a> (24:22)","<a href=""?id=1&amp;nr=326934"">WWE Hell In A Cell 2022</a> - Pay Per View @ Allstate Arena in Rosemont, Illinois, USA"
2022-06-05,World Wrestling Entertainment,Mixed: ,"<a href=""?id=29&amp;nr=3158&amp;name=The+Judgment+Day"">The Judgment Day</a> (<a href=""?id=2&amp;nr=16337&amp;name=Damian+Priest"">Damian Priest</a>, <a href=""?id=2&amp;nr=932&amp;name=Edge"">Edge</a> &amp; <a href=""?id=2&amp;nr=16519&amp;name=Rhea+Ripley"">Rhea Ripley</a>) defeat <a href=""?id=2&amp;nr=801&amp;name=AJ+Styles"">AJ Styles</a>, <a href=""?id=2&amp;nr=2742&amp;name=Finn+Balor"">Finn Balor</a> &amp; <a href=""?id=2&amp;nr=16664&amp;name=Liv+Morgan"">Liv Morgan</a> (16:02)","<a href=""?id=1&amp;nr=326934"">WWE Hell In A Cell 2022</a> - Pay Per View @ Allstate Arena in Rosemont, Illinois, USA"
2022-06-05,World Wrestling Entertainment,No Holds Barred: ,"<a href=""?id=2&amp;nr=15858&amp;name=Madcap+Moss"">Madcap Moss</a> defeats <a href=""?id=2&amp;nr=12474&amp;name=Happy+Corbin"">Happy Corbin</a> (12:03)","<a href=""?id=1&amp;nr=326934"">WWE Hell In A Cell 2022</a> - Pay Per View @ Allstate Arena in Rosemont, Illinois, USA"
2022-06-05,World Wrestling Entertainment,Two On One Handicap: ,"<a href=""?id=2&amp;nr=1194&amp;name=Bobby+Lashley"">Bobby Lashley</a> defeats <a href=""?id=2&amp;nr=561&amp;name=MVP++"">MVP</a> &amp; <a href=""?id=2&amp;nr=21239&amp;name=Omos"">Omos</a> (8:17)","<a href=""?id=1&amp;nr=326934"">WWE Hell In A Cell 2022</a> - Pay Per View @ Allstate Arena in Rosemont, Illinois, USA"
2022-06-05,World Wrestling Entertainment,"<a href=""?id=5&amp;nr=2906"">WWE RAW Women's Title</a> Triple Threat: ","<a href=""?id=2&amp;nr=18242&amp;name=Bianca+Belair"">Bianca Belair</a> (c) defeats <a href=""?id=2&amp;nr=2785&amp;name=Asuka"">Asuka</a> and <a href=""?id=2&amp;nr=2467&amp;name=Becky+Lynch"">Becky Lynch</a> (19:00)","<a href=""?id=1&amp;nr=326934"">WWE Hell In A Cell 2022</a> - Pay Per View @ Allstate Arena in Rosemont, Illinois, USA"
2022-06-05,World Wrestling Entertainment,"<a href=""?id=5&amp;nr=62"">WWE United States Title</a>: ","<a href=""?id=2&amp;nr=18855&amp;name=Theory"">Theory</a> (c) defeats <a href=""?id=2&amp;nr=7145&amp;name=Mustafa+Ali"">Mustafa Ali</a> (10:42)","<a href=""?id=1&amp;nr=326934"">WWE Hell In A Cell 2022</a> - Pay Per View @ Allstate Arena in Rosemont, Illinois, USA"
2022-05-08,World Wrestling Entertainment,,"<a href=""?id=2&amp;nr=3686&amp;name=Cody+Rhodes"">Cody Rhodes</a> defeats <a href=""?id=2&amp;nr=2250&amp;name=Seth+Rollins"">Seth Rollins</a> (20:46)","<a href=""?id=1&amp;nr=326933"">WWE WrestleMania Backlash 2022</a> - Pay Per View @ Dunkin' Donuts Center in Providence, Rhode Island, USA"
2022-05-08,World Wrestling Entertainment,,"<a href=""?id=2&amp;nr=932&amp;name=Edge"">Edge</a> defeats <a href=""?id=2&amp;nr=801&amp;name=AJ+Styles"">AJ Styles</a> by referee's decision (15:21)","<a href=""?id=1&amp;nr=326933"">WWE WrestleMania Backlash 2022</a> - Pay Per View @ Dunkin' Donuts Center in Providence, Rhode Island, USA"
2022-05-08,World Wrestling Entertainment,,"<a href=""?id=2&amp;nr=15858&amp;name=Madcap+Moss"">Madcap Moss</a> defeats <a href=""?id=2&amp;nr=12474&amp;name=Happy+Corbin"">Happy Corbin</a> (9:46)","<a href=""?id=1&amp;nr=326933"">WWE WrestleMania Backlash 2022</a> - Pay Per View @ Dunkin' Donuts Center in Providence, Rhode Island, USA"
