date,promotion,event_type,arena,location,event_name,event_id,match_type,match_length,participant_count,title_ids,title_names,title_change,winner_ids,winner_names,winning_team_ids,winning_team_names,loser_ids,loser_names,losing_team_ids,losing_team_names,drawer_ids,drawer_names,drawing_team_ids,drawing_team_names,gender
2022-05-18,All Elite Wrestling,TV-Show,Fertitta Center,"Houston, Texas, USA",AEW Dynamite #137 - Wild Card Wednesday,337475,Owen Hart Foundation Men's Tournament Semi Final,430.0,2,,,False,7142,Adam Cole,,,891,Jeff Hardy,,,,,,,male
2022-05-18,All Elite Wrestling,TV-Show,Fertitta Center,"Houston, Texas, USA",AEW Dark: Elevation #64,343195,,,4,,,False,"4307,21060","The Blade,The Butcher",8381,The Butcher And The Blade,"20065,18858","Brian Pillman Jr.,Griff Garrison",9709,The Varsity Blonds,,,,,male
2022-05-18,All Elite Wrestling,TV-Show,Fertitta Center,"Houston, Texas, USA",AEW Rampage #42,343194,Owen Hart Foundation Women's Tournament First Round,,2,,,False,20328,Kris Statlander,,,22271,Red Velvet,,,,,,,female
2022-05-18,All Elite Wrestling,TV-Show,Fertitta Center,"Houston, Texas, USA",AEW Rampage #42,343194,,,5,,,False,"18672,13088,1700","Brody King,Buddy Matthews,Malakai Black",3120,The House Of Black,"2397,20399","Evil Uno,Ten",2663,The Dark Order,,,,,male
2022-05-18,All Elite Wrestling,TV-Show,Fertitta Center,"Houston, Texas, USA",AEW Rampage #42,343194,,,4,,,False,"86,3940","Bryan Danielson,Jon Moxley",3139,Blackpool Combat Club,"20610,1065","Dante Martin,Matt Sydal",,,,,,,male
2022-05-18,All Elite Wrestling,TV-Show,Fertitta Center,"Houston, Texas, USA",AEW Dark: Elevation #64,343195,ROH Women's World Title,,2,5090,ROH Women's World Title,False,1117,Mercedes Martinez,,,21110,Hyan,,,,,,,female
2022-05-18,All Elite Wrestling,TV-Show,Fertitta Center,"Houston, Texas, USA",AEW Rampage #42,343194,Owen Hart Foundation Women's Tournament First Round,455.0,2,,,False,20328,Kris Statlander,,,22271,Red Velvet,,,,,,,female
2022-05-18,All Elite Wrestling,TV-Show,Fertitta Center,"Houston, Texas, USA",AEW Dynamite #137 - Wild Card Wednesday,337475,Owen Hart Foundation Women's Tournament First Round,404.0,2,,,False,17188,Dr. Britt Baker DMD,,,18491,Maki Itoh,,,,,,,female
2022-05-18,All Elite Wrestling,TV-Show,Fertitta Center,"Houston, Texas, USA",AEW Dynamite #137 - Wild Card Wednesday,337475,Owen Hart Foundation Men's Tournament First Round,625.0,2,,,False,676,Samoa Joe,,,1099,Johnny Elite,,,,,,,male
2022-05-18,All Elite Wrestling,TV-Show,Fertitta Center,"Houston, Texas, USA",AEW Dynamite #137 - Wild Card Wednesday,337475,Owen Hart Foundation Men's Tournament First Round,720.0,2,,,False,4006,Kyle O'Reilly,,,10343,Rey Fenix,,,,,,,male
2022-05-18,All Elite Wrestling,TV-Show,Fertitta Center,"Houston, Texas, USA",AEW Rampage #42,343194,,,2,,,False,3190,Shawn Spears,,,3910,Big Damo,,,,,,,male
2022-05-18,All Elite Wrestling,TV-Show,Fertitta Center,"Houston, Texas, USA",AEW Dark: Elevation #64,343195,,,2,,,False,19517,Lee Moriarty,,,6215,Alex Reynolds,,,,,,,male
2022-05-18,All Elite Wrestling,TV-Show,Fertitta Center,"Houston, Texas, USA",AEW Dark: Elevation #64,343195,,,4,,,False,"4629,17025","Emi Sakura,Nyla Rose",,,"23406,16547","Skye Blue,Yuka Sakazaki",,,,,,,female
2022-05-18,All Elite Wrestling,TV-Show,Fertitta Center,"Houston, Texas, USA",AEW Dark: Elevation #64,343195,,,2,,,False,23823,Anthony Ogogo,,,7725,Mysterious Q,,,,,,,male
2022-05-18,All Elite Wrestling,TV-Show,Fertitta Center,"Houston, Texas, USA",AEW Rampage #42,343194,,564.0,5,,,False,"18672,13088,1700","Brody King,Buddy Matthews,Malakai Black",3120,The House Of Black,"2397,20399","Evil Uno,Ten",2663,The Dark Order,,,,,male
2022-05-18,All Elite Wrestling,TV-Show,Fertitta Center,"Houston, Texas, USA",AEW Rampage #42,343194,,98.0,2,,,False,3190,Shawn Spears,,,3910,Big Damo,,,,,,,male
2022-05-18,All Elite Wrestling,TV-Show,Fertitta Center,"Houston, Texas, USA",AEW Rampage #42,343194,,725.0,4,,,False,"86,3940","Bryan Danielson,Jon Moxley",3139,Blackpool Combat Club,"20610,1065","Dante Martin,Matt Sydal",,,,,,,male
2022-05-18,All Elite Wrestling,TV-Show,Fertitta Center,"Houston, Texas, USA",AEW Dynamite #137 - Wild Card Wednesday,337475,,144.0,4,,,False,"13732,12703","Keith Lee,Swerve Strickland",,,"8745,18677","Anthony Henry,JD Drake",7831,The WorkHorsemen,,,,,male
2022-05-18,All Elite Wrestling,TV-Show,Fertitta Center,"Houston, Texas, USA",AEW Dynamite #137 - Wild Card Wednesday,337475,,734.0,2,,,False,11161,Adam Page,,,13073,Konosuke Takeshita,,,,,,,male
2022-05-18,All Elite Wrestling,TV-Show,Fertitta Center,"Houston, Texas, USA",AEW Dark: Elevation #64,343195,,,2,,,False,7216,Ethan Page,,,9250,JD Griffey,,,,,,,male
2022-05-11,All Elite Wrestling,TV-Show,USB Arena,"Elmont, New York, USA",AEW Dark: Elevation #63,342771,,106.0,2,,,False,18672,Brody King,,,6215,Alex Reynolds,,,,,,,male
2022-05-11,All Elite Wrestling,TV-Show,UBS Arena,"Elmont, New York, USA",AEW Dynamite #136,336561,Owen Hart Foundation Women's Tournament First Round,512.0,2,,,False,15978,Toni Storm,,,18784,Jamie Hayter,,,,,,,female
2022-05-11,All Elite Wrestling,TV-Show,UBS Arena,"Elmont, New York, USA",AEW Dynamite #136,336561,Owen Hart Foundation Men's Tournament First Round No Disqualification,616.0,2,,,False,891,Jeff Hardy,,,18849,Darby Allin,,,,,,,male
2022-05-11,All Elite Wrestling,TV-Show,UBS Arena,"Elmont, New York, USA",AEW Dynamite #136,336561,Owen Hart Foundation Men's Tournament First Round,934.0,2,,,False,7142,Adam Cole,,,12068,Dax Harwood,,,,,,,male
2022-05-11,All Elite Wrestling,TV-Show,UBS Arena,"Elmont, New York, USA",AEW Dynamite #136,336561,FTW Title,601.0,2,4661,FTW Title,False,14007,Ricky Starks,,,18237,Jungle Boy,,,,,,,male
2022-05-11,All Elite Wrestling,TV-Show,USB Arena,"Elmont, New York, USA",AEW Dark: Elevation #63,342771,,150.0,4,,,False,"2397,20399","Evil Uno,Ten",2663,The Dark Order,"10721,10785","Eric James,VSK",,,,,,,male
2022-05-11,All Elite Wrestling,TV-Show,USB Arena,"Elmont, New York, USA",AEW Dark: Elevation #63,342771,,82.0,8,,,False,"14810,19761,20024,23125","Anthony Bowens,Max Caster,Austin Gunn,Colten Gunn","9635,2808","The Acclaimed,The Gunn Club","21453,-1,-1,20009","Bryce Donovan,GKM,Lucas Chase,Zack Clayton",,,,,,,male
2022-05-11,All Elite Wrestling,TV-Show,UBS Arena,"Elmont, New York, USA",AEW Rampage #41,336562,,622.0,6,,,False,"3497,10334,10343","PAC,Penta Oscuro,Rey Fenix",2678,Death Triangle,"15417,4307,21060","Marq Quen,The Blade,The Butcher",2914,AFO,,,,,male
2022-05-11,All Elite Wrestling,TV-Show,USB Arena,"Elmont, New York, USA",AEW Dark: Elevation #63,342771,,140.0,2,,,False,20207,Bear Bronson,,,4767,Brandon Cutler,,,,,,,male
2022-05-11,All Elite Wrestling,TV-Show,USB Arena,"Elmont, New York, USA",AEW Dark: Elevation #63,342771,,212.0,4,,,False,"22619,16547","Anna Jay,Yuka Sakazaki",,,"4629,17025","Emi Sakura,Nyla Rose",,,,,,,female
2022-05-11,All Elite Wrestling,TV-Show,Universal Studios,"Orlando, Florida, USA",AEW Dark #143,342525,,360.0,4,,,False,"13732,12703","Keith Lee,Swerve Strickland",,,"171,10297","Luther,Serpentico",9591,Chaos Project,,,,,male
2022-05-11,All Elite Wrestling,TV-Show,UBS Arena,"Elmont, New York, USA",AEW Rampage #41,336562,,123.0,2,,,False,3190,Shawn Spears,,,19259,Bear Boulder,,,,,,,male
2022-05-11,All Elite Wrestling,TV-Show,UBS Arena,"Elmont, New York, USA",AEW Dynamite #136,336561,,32.0,2,,,False,5741,Tony Nese,,,16597,Danhausen,,,,,,,male
2022-05-11,All Elite Wrestling,TV-Show,UBS Arena,"Elmont, New York, USA",AEW Dynamite #136,336561,,486.0,2,,,False,80,CM Punk,,,6959,John Silver,,,,,,,male
2022-05-11,All Elite Wrestling,TV-Show,USB Arena,"Elmont, New York, USA",AEW Dark: Elevation #63,342771,ROH Women's World Title,332.0,2,5090,ROH Women's World Title,False,1117,Mercedes Martinez,,,20105,Trish Adora,,,,,,,female
2022-05-11,All Elite Wrestling,TV-Show,UBS Arena,"Elmont, New York, USA",AEW Rampage #41,336562,Owen Hart Foundation Women's Tournament First Round,547.0,2,,,False,12698,Ruby Soho,,,9434,Riho,,,,,,,female
