,date,promotion,draw,winners,winning_teams,losers,losing_teams,drawers,drawing_teams,length,location,show,gender
0,2022-04-06,All Elite Wrestling,False,Diamante,,Ashley D'Amboise,,,,163,"Agganis Arena in Boston, Massachusetts, USA",AEW Dark: Elevation #58,female
1,2022-04-06,All Elite Wrestling,False,Frankie Kazarian,,Teddy Goodz,,,,198,"Agganis Arena in Boston, Massachusetts, USA",AEW Dark: Elevation #58,male
2,2022-04-06,All Elite Wrestling,False,Penta Oscuro,,Jora Johl,,,,230,"Agganis Arena in Boston, Massachusetts, USA",AEW Dark: Elevation #58,male
3,2022-04-06,All Elite Wrestling,False,"Anna Jay,Ruby Soho,Skye Blue",,"Emi Sakura,LuFisto,The Bunny",,,,201,"Agganis Arena in Boston, Massachusetts, USA",AEW Dark: Elevation #58,female
4,2022-04-06,All Elite Wrestling,False,"Alan Angels,Alex Reynolds,John Silver,Stu Grayson,Ten",The Dark Order,"Luther,Serpentico,Austin Gunn,Billy Gunn,Colten Gunn","Chaos Project,The Gunn Club",,,320,"Agganis Arena in Boston, Massachusetts, USA",AEW Dark: Elevation #58,male
5,2022-04-06,All Elite Wrestling,False,"Dante Martin,Darius Martin",Top Flight,"Aaron Solo,Nick Comoroto",The Factory,,,352,"Agganis Arena in Boston, Massachusetts, USA",AEW Dark: Elevation #58,male
6,2022-03-30,All Elite Wrestling,False,"Chuck Taylor,Trent Beretta",Best Friends,"Anthony Henry,JD Drake",The WorkHorsemen,,,480,"Colonial Life Arena in Columbia, South Carolina, USA",AEW Dark: Elevation #57,male
7,2022-03-30,All Elite Wrestling,False,"Brock Anderson,Lee Johnson",,"Aaron Solo,QT Marshall",The Factory,,,419,"Colonial Life Arena in Columbia, South Carolina, USA",AEW Dark: Elevation #57,male
8,2022-03-30,All Elite Wrestling,False,Frankie Kazarian,,Lucky Ali,,,,220,"Colonial Life Arena in Columbia, South Carolina, USA",AEW Dark: Elevation #57,male
9,2022-03-30,All Elite Wrestling,False,Leyla Hirsch,,Ella Envy,,,,95,"Colonial Life Arena in Columbia, South Carolina, USA",AEW Dark: Elevation #57,female
10,2022-03-30,All Elite Wrestling,False,Paul Wight,,Austin Green,,,,124,"Colonial Life Arena in Columbia, South Carolina, USA",AEW Dark: Elevation #57,male
11,2022-03-30,All Elite Wrestling,False,Red Velvet,,Brittany Jade,,,,140,"Colonial Life Arena in Columbia, South Carolina, USA",AEW Dark: Elevation #57,female
12,2022-03-30,All Elite Wrestling,False,"Anna Jay,Ruby Soho",,"Ashley D'Amboise,Diamante",,,,290,"Colonial Life Arena in Columbia, South Carolina, USA",AEW Dark: Elevation #57,female
13,2022-03-30,All Elite Wrestling,False,Serena Deeb,,Dani Mo,,,,135,"Colonial Life Arena in Columbia, South Carolina, USA",AEW Dark: Elevation #57,female
14,2022-03-23,All Elite Wrestling,False,Abadon,,Danni Bee,,,,83,"H-E-B Center in Cedar Park, Texas, USA",AEW Dark: Elevation #56,female
15,2022-03-23,All Elite Wrestling,False,"Anna Jay,Ruby Soho",,"Charlette Renegade,Robyn Renegade",,,,137,"H-E-B Center in Cedar Park, Texas, USA",AEW Dark: Elevation #56,female
16,2022-03-23,All Elite Wrestling,False,Frankie Kazarian,,Brandon Cutler,,,,226,"H-E-B Center in Cedar Park, Texas, USA",AEW Dark: Elevation #56,male
17,2022-03-23,All Elite Wrestling,False,Hikaru Shida,,Madi Wrenkowski,,,,99,"H-E-B Center in Cedar Park, Texas, USA",AEW Dark: Elevation #56,female
18,2022-03-23,All Elite Wrestling,False,Jamie Hayter,,Rache Chanel,,,,104,"H-E-B Center in Cedar Park, Texas, USA",AEW Dark: Elevation #56,female
19,2022-03-23,All Elite Wrestling,False,Lee Moriarty,,Serpentico,,,,239,"H-E-B Center in Cedar Park, Texas, USA",AEW Dark: Elevation #56,male
20,2022-03-23,All Elite Wrestling,False,Max Caster,,Sonny Kiss,,,,257,"H-E-B Center in Cedar Park, Texas, USA",AEW Dark: Elevation #56,male
21,2022-03-23,All Elite Wrestling,False,Penta Oscuro,,JPH,,,,115,"H-E-B Center in Cedar Park, Texas, USA",AEW Dark: Elevation #56,male
22,2022-03-23,All Elite Wrestling,False,"Rocky Romero,Trent Beretta",Roppongi Vice,"Aaron Solo,QT Marshall",The Factory,,,323,"H-E-B Center in Cedar Park, Texas, USA",AEW Dark: Elevation #56,male
23,2022-03-16,All Elite Wrestling,False,"Anna Jay,Ruby Soho",,"Emi Sakura,The Bunny",,,,260,"Freeman Coliseum in San Antonio, Texas, USA",AEW Dark: Elevation #55,female
24,2022-03-16,All Elite Wrestling,False,Julia Hart,,Skye Blue,,,,240,"Freeman Coliseum in San Antonio, Texas, USA",AEW Dark: Elevation #55,female
25,2022-03-16,All Elite Wrestling,False,Nyla Rose,,Robyn Renegade,,,,84,"Freeman Coliseum in San Antonio, Texas, USA",AEW Dark: Elevation #55,female
26,2022-03-16,All Elite Wrestling,False,"Evil Uno,John Silver,Stu Grayson",The Dark Order,"Aaron Solo,Nick Comoroto,QT Marshall",The Factory,,,447,"Freeman Coliseum in San Antonio, Texas, USA",AEW Dark: Elevation #55,male
27,2022-03-16,All Elite Wrestling,False,"Austin Gunn,Colten Gunn",The Gunn Club,"Aaron Mercer,Masada",,,,222,"Freeman Coliseum in San Antonio, Texas, USA",AEW Dark: Elevation #55,male
28,2022-03-16,All Elite Wrestling,False,"Dante Martin,Darius Martin",Top Flight,"Luther,Serpentico",Chaos Project,,,294,"Freeman Coliseum in San Antonio, Texas, USA",AEW Dark: Elevation #55,male
29,2022-03-09,All Elite Wrestling,False,"Emi Sakura,The Bunny",,"KiLynn King,Skye Blue",,,,360,"Hertz Arena in Fort Myers, Florida, USA",AEW Dark: Elevation #54,female
30,2022-03-09,All Elite Wrestling,False,Frankie Kazarian,,Tiger Ruas,,,,347,"Hertz Arena in Fort Myers, Florida, USA",AEW Dark: Elevation #54,male
31,2022-03-09,All Elite Wrestling,False,Jay Lethal,,Merrik Donovan,,,,143,"Hertz Arena in Fort Myers, Florida, USA",AEW Dark: Elevation #54,male
32,2022-03-09,All Elite Wrestling,False,Nyla Rose,,Katalina Perez,,,,80,"Hertz Arena in Fort Myers, Florida, USA",AEW Dark: Elevation #54,female
33,2022-03-09,All Elite Wrestling,False,Ruby Soho,,Amber Nova,,,,214,"Hertz Arena in Fort Myers, Florida, USA",AEW Dark: Elevation #54,female
34,2022-03-09,All Elite Wrestling,False,"Alex Reynolds,John Silver",The Dark Order,"Luther,Serpentico",Chaos Project,,,280,"Hertz Arena in Fort Myers, Florida, USA",AEW Dark: Elevation #54,male
35,2022-03-04,All Elite Wrestling,False,"AQA,Ruby Soho",,"Diamante,Emi Sakura",,,,302,"Addition Financial Arena in Orlando, Florida, USA",AEW Dark #133,female
36,2022-03-04,All Elite Wrestling,False,Anna Jay,,Marina Tucker,,,,81,"Addition Financial Arena in Orlando, Florida, USA",AEW Dark #133,female
37,2022-03-04,All Elite Wrestling,False,Jay Lethal,,Serpentico,,,,312,"Addition Financial Arena in Orlando, Florida, USA",AEW Dark #133,male
38,2022-03-04,All Elite Wrestling,False,Kris Statlander,,Kelsey Raegan,,,,112,"Addition Financial Arena in Orlando, Florida, USA",AEW Dark #133,female
39,2022-03-04,All Elite Wrestling,False,Nyla Rose,,Skye Blue,,,,158,"Addition Financial Arena in Orlando, Florida, USA",AEW Dark #133,female
40,2022-03-04,All Elite Wrestling,False,"Isiah Kassidy,Marq Quen",Private Party,"Brock Anderson,Lee Johnson",,,,305,"Addition Financial Arena in Orlando, Florida, USA",AEW Dark #133,male
41,2022-03-04,All Elite Wrestling,False,Red Velvet,,Kiera Hogan,,,,136,"Addition Financial Arena in Orlando, Florida, USA",AEW Dark #133,female
42,2022-03-04,All Elite Wrestling,False,Scorpio Sky,,Sonny Kiss,,,,342,"Addition Financial Arena in Orlando, Florida, USA",AEW Dark #133,male
43,2022-03-04,All Elite Wrestling,False,"The Blade,The Butcher",The Butcher And The Blade,"Alan Angels,Colt Cabana",The Dark Order,,,331,"Addition Financial Arena in Orlando, Florida, USA",AEW Dark #133,
44,2022-03-04,All Elite Wrestling,False,"Dante Martin,Darius Martin",Top Flight,"Peter Avalon,Ryan Nemeth",The Wingmen,,,385,"Addition Financial Arena in Orlando, Florida, USA",AEW Dark #133,male
45,2022-03-03,All Elite Wrestling,False,AQA,,Valentina Rossi,,,,124,"Universal Studios in Orlando, Florida, USA",AEW Dark #135,female
46,2022-03-03,All Elite Wrestling,False,Abadon,,Angelica Risk,,,,66,"Universal Studios in Orlando, Florida, USA",AEW Dark #135,female
47,2022-03-03,All Elite Wrestling,False,Anthony Ogogo,,Ray Jaz,,,,143,"Universal Studios in Orlando, Florida, USA",AEW Dark #135,male
48,2022-03-03,All Elite Wrestling,False,Blake Christian,,Rohit Raju,,,,209,"Universal Studios in Orlando, Florida, USA",AEW Dark #135,male
49,2022-03-03,All Elite Wrestling,False,Jay Lethal,,JD Drake,,,,344,"Universal Studios in Orlando, Florida, USA",AEW Dark #135,male
50,2022-03-03,All Elite Wrestling,False,Marina Shafir,,Leila Grey,,,,80,"Universal Studios in Orlando, Florida, USA",AEW Dark #135,female
51,2022-03-03,All Elite Wrestling,False,Mercedes Martinez,,Gemma Jewels,,,,93,"Universal Studios in Orlando, Florida, USA",AEW Dark #135,female
52,2022-03-03,All Elite Wrestling,False,Nyla Rose,,Kaci Lennox,,,,79,"Universal Studios in Orlando, Florida, USA",AEW Dark #135,female
53,2022-03-03,All Elite Wrestling,False,Powerhouse Hobbs,,Fuego Del Sol,,,,248,"Universal Studios in Orlando, Florida, USA",AEW Dark #135,male
54,2022-03-03,All Elite Wrestling,False,"Anthony Bowens,Max Caster",The Acclaimed,"Adrian Alanis,Liam Gray",,,,133,"Universal Studios in Orlando, Florida, USA",AEW Dark #135,male
55,2022-03-03,All Elite Wrestling,False,"The Blade,The Butcher",The Butcher And The Blade,"Carlie Bravo,Shawn Dean",,,,161,"Universal Studios in Orlando, Florida, USA",AEW Dark #135,
56,2022-03-03,All Elite Wrestling,False,"Austin Gunn,Colten Gunn",The Gunn Club,"JCruz,Victor Chase",The Brick City Boyz,,,29,"Universal Studios in Orlando, Florida, USA",AEW Dark #135,male
57,2022-03-03,All Elite Wrestling,False,"Brian Pillman Jr.,Griff Garrison",The Varsity Blonds,"Sotheara Chhun,Tony Vincita",,,,216,"Universal Studios in Orlando, Florida, USA",AEW Dark #135,male
58,2022-03-03,All Elite Wrestling,False,Tony Nese,,Karam,,,,159,"Universal Studios in Orlando, Florida, USA",AEW Dark #135,male
59,2022-03-03,All Elite Wrestling,False,"Jeff Parker,Matt Lee,Daniel Garcia",2point0,"Luke Sampson,Mike Reed,Shayne Stetson",,,,139,"Universal Studios in Orlando, Florida, USA",AEW Dark #134,male
60,2022-03-03,All Elite Wrestling,False,"Matt Jackson,Nick Jackson",The Young Bucks,"Alan Angels,Colt Cabana,Evil Uno",The Dark Order,,,520,"Universal Studios in Orlando, Florida, USA",AEW Dark #134,male
61,2022-03-03,All Elite Wrestling,False,Diamante,,Session Moth Martina,,,,160,"Universal Studios in Orlando, Florida, USA",AEW Dark #134,female
