,date,promotion,draw,winners,winning_teams,losers,losing_teams,drawers,drawing_teams,length,location,show,gender
0,2022-04-13,All Elite Wrestling,False,CM Punk,,Penta Oscuro,,,,818,"UNO Lakefront Arena in New Orleans, Louisiana, USA",AEW Dynamite #132,male
1,2022-04-13,All Elite Wrestling,False,"Chris Jericho,Daniel Garcia,Jake Hager",Jericho Appreciation Society,"Eddie Kingston,Ortiz,Santana",,,,706,"UNO Lakefront Arena in New Orleans, Louisiana, USA",AEW Dynamite #132,male
2,2022-04-13,All Elite Wrestling,False,Marina Shafir,,Skye Blue,,,,144,"UNO Lakefront Arena in New Orleans, Louisiana, USA",AEW Dynamite #132,female
3,2022-04-13,All Elite Wrestling,False,Shawn Dean,,MJF,,,,247,"UNO Lakefront Arena in New Orleans, Louisiana, USA",AEW Dynamite #132,male
4,2022-04-13,All Elite Wrestling,False,"Powerhouse Hobbs,Ricky Starks",Team Taz,"Keith Lee,Swerve Strickland",,,,752,"UNO Lakefront Arena in New Orleans, Louisiana, USA",AEW Dynamite #132,male
5,2022-04-13,All Elite Wrestling,False,"Jungle Boy,Luchasaurus",Jurassic Express,"Bobby Fish,Kyle O'Reilly",reDRagon,,,825,"UNO Lakefront Arena in New Orleans, Louisiana, USA",AEW Dynamite #132,male
6,2022-04-13,All Elite Wrestling,False,Samoa Joe,,Minoru Suzuki,,,,697,"UNO Lakefront Arena in New Orleans, Louisiana, USA",AEW Dynamite #132,male
7,2022-04-06,All Elite Wrestling,False,Adam Cole,,Christian Cage,,,,896,"Agganis Arena in Boston, Massachusetts, USA",AEW Dynamite #131,male
8,2022-04-06,All Elite Wrestling,False,Shawn Dean,,Shawn Spears,,,,230,"Agganis Arena in Boston, Massachusetts, USA",AEW Dynamite #131,male
9,2022-04-06,All Elite Wrestling,False,Samoa Joe,,Max Caster,,,,172,"Agganis Arena in Boston, Massachusetts, USA",AEW Dynamite #131,male
10,2022-04-06,All Elite Wrestling,False,Hikaru Shida,,Julia Hart,,,,465,"Agganis Arena in Boston, Massachusetts, USA",AEW Dynamite #131,female
11,2022-04-06,All Elite Wrestling,False,"Cash Wheeler,Dax Harwood",FTR,"Matt Jackson,Nick Jackson",The Young Bucks,,,1207,"Agganis Arena in Boston, Massachusetts, USA",AEW Dynamite #131,male
