id,name,rating,name_of_the_event,date,promotion,type,location,arena,broadcast_type,broadcast_date,tv_station/network,commentary_by,attendance,tv_rating
343687,WWE Monday Night RAW #1519,6.61,WWE Monday Night RAW #1519,04.07.2022,World Wrestling Entertainment,TV-Show,"San Diego, California, USA",Pechanga Arena,Live,04.07.2022,USA Network,"Byron Saxton, Corey Graves & Kevin Patrick",,
343686,WWE Monday Night RAW #1518,6.61,WWE Monday Night RAW #1518,27.06.2022,World Wrestling Entertainment,TV-Show,"Laredo, Texas, USA",Sames Auto Arena,Live,27.06.2022,USA Network,"Asuka, Byron Saxton, Corey Graves & Jimmy Smith",8.240,
343685,WWE Monday Night RAW #1517,6.2,WWE Monday Night RAW #1517,20.06.2022,World Wrestling Entertainment,TV-Show,"Lincoln, Nebraska, USA",Pinnacle Bank Arena,Live,20.06.2022,USA Network,"Byron Saxton, Corey Graves, Jimmy Smith & The Miz",,
343684,WWE Monday Night RAW #1516,5.94,WWE Monday Night RAW #1516,13.06.2022,World Wrestling Entertainment,TV-Show,"Wichita, Kansas, USA",Intrust Bank Arena,Live,13.06.2022,USA Network,"Byron Saxton, Corey Graves, Jimmy Smith & The Miz",,
343683,WWE Monday Night RAW #1515,6.24,WWE Monday Night RAW #1515,06.06.2022,World Wrestling Entertainment,TV-Show,"Green Bay, Wisconsin, USA",Resch Center,Live,06.06.2022,USA Network,"Byron Saxton, Corey Graves & Jimmy Smith",ca. 5.600,
339839,WWE Monday Night RAW #1514,5.54,WWE Monday Night RAW #1514,30.05.2022,World Wrestling Entertainment,TV-Show,"Des Moines, Iowa, USA",Wells Fargo Arena,Live,30.05.2022,USA Network,"Becky Lynch, Byron Saxton, Corey Graves, Jimmy Smith & Theory",5.908,
339837,WWE Monday Night RAW #1513,5.46,WWE Monday Night RAW #1513,23.05.2022,World Wrestling Entertainment,TV-Show,"Evansville, Indiana, USA",Ford Center,Live,23.05.2022,USA Network,"Byron Saxton, Corey Graves & Jimmy Smith",,
339835,WWE Monday Night RAW #1512,6.32,WWE Monday Night RAW #1512,16.05.2022,World Wrestling Entertainment,TV-Show,"Norfolk, Virginia, USA",Scope Arena,Live,16.05.2022,USA Network,"Byron Saxton, Corey Graves, Jimmy Smith & Kevin Owens",,
339833,WWE Monday Night RAW #1511,6.23,WWE Monday Night RAW #1511,09.05.2022,World Wrestling Entertainment,TV-Show,"Hartford, Connecticut, USA",XL Center,Live,09.05.2022,USA Network,"Becky Lynch, Byron Saxton, Corey Graves & Jimmy Smith",6.996,
339831,WWE Monday Night RAW #1510,6.43,WWE Monday Night RAW #1510,02.05.2022,World Wrestling Entertainment,TV-Show,"Greensboro, North Carolina, USA",Greensboro Coliseum,Live,02.05.2022,USA Network,"Byron Saxton, Corey Graves & Jimmy Smith",,
339829,WWE Monday Night RAW #1509,6.7,WWE Monday Night RAW #1509,25.04.2022,World Wrestling Entertainment,TV-Show,"Knoxville, Tennessee, USA",Thompson-Boling Arena,Live,25.04.2022,USA Network,"Byron Saxton, Corey Graves & Jimmy Smith",,
339827,WWE Monday Night RAW #1508,5.86,WWE Monday Night RAW #1508,18.04.2022,World Wrestling Entertainment,TV-Show,"Buffalo, New York, USA",KeyBank Center,Live,18.04.2022,USA Network,"Byron Saxton, Jerry Lawler & Jimmy Smith",,
339586,WWE Monday Night RAW #1507,5.93,WWE Monday Night RAW #1507,11.04.2022,World Wrestling Entertainment,TV-Show,"Detroit, Michigan, USA",Little Caesars Arena,Live,11.04.2022,USA Network,"Byron Saxton, Jerry Lawler & Jimmy Smith",,
335700,WWE Monday Night RAW #1506,4.54,WWE Monday Night RAW #1506,04.04.2022,World Wrestling Entertainment,TV-Show,"Dallas, Texas, USA",American Airlines Center,Live,04.04.2022,USA Network,"Byron Saxton, Corey Graves & Jimmy Smith",,
335699,WWE Monday Night RAW #1505 - WrestleMania RAW,3.4,WWE Monday Night RAW #1505 - WrestleMania RAW,28.03.2022,World Wrestling Entertainment,TV-Show,"Pittsburgh, Pennsylvania, USA",PPG Paints Arena,Live,28.03.2022,USA Network,"Byron Saxton, Corey Graves, Jimmy Smith & Michael Cole",,
335697,WWE Monday Night RAW #1504,6.2,WWE Monday Night RAW #1504,21.03.2022,World Wrestling Entertainment,TV-Show,"Rosemont, Illinois, USA",Allstate Arena,Live,21.03.2022,USA Network,"Byron Saxton, Corey Graves, Jimmy Smith, Pat McAfee & The Miz",,
335695,WWE Monday Night RAW #1503,4.49,WWE Monday Night RAW #1503,14.03.2022,World Wrestling Entertainment,TV-Show,"Jacksonville, Florida, USA",VyStar Veterans Memorial Arena,Live,14.03.2022,USA Network,"Austin Theory, Byron Saxton, Corey Graves, Jimmy Smith, Logan Paul & The Miz",,
335693,WWE Monday Night RAW #1502,6.49,WWE Monday Night RAW #1502,07.03.2022,World Wrestling Entertainment,TV-Show,"Cleveland, Ohio, USA",Rocket Mortgage Fieldhouse,Live,07.03.2022,USA Network,"Byron Saxton, Corey Graves & Jimmy Smith",,
335690,WWE Monday Night RAW #1501,6.65,WWE Monday Night RAW #1501,28.02.2022,World Wrestling Entertainment,TV-Show,"Columbus, Ohio, USA",Nationwide Arena,Live,28.02.2022,USA Network,"Byron Saxton, Corey Graves & Jimmy Smith",,
335689,WWE Monday Night RAW #1500,6.56,WWE Monday Night RAW #1500,21.02.2022,World Wrestling Entertainment,TV-Show,"Columbia, South Carolina, USA",Colonial Life Arena,Live,21.02.2022,USA Network,"Becky Lynch, Byron Saxton, Corey Graves & Jimmy Smith",,
334596,WWE Monday Night RAW #1499,6.38,WWE Monday Night RAW #1499,14.02.2022,World Wrestling Entertainment,TV-Show,"Indianapolis, Indiana, USA",Gainbridge Fieldhouse,Live,14.02.2022,Syfy,"Byron Saxton, Corey Graves, Jimmy Smith, Maryse, The Miz & Tommaso Ciampa",5.108,
334595,WWE Monday Night RAW #1498,5.78,WWE Monday Night RAW #1498,07.02.2022,World Wrestling Entertainment,TV-Show,"Denver, Colorado, USA",Ball Arena,Live,07.02.2022,Syfy,"Byron Saxton, Corey Graves & Jimmy Smith",6.138,
333207,WWE Monday Night RAW #1497,6.6,WWE Monday Night RAW #1497,31.01.2022,World Wrestling Entertainment,TV-Show,"Cincinnati, Ohio, USA",Heritage Bank Center,Live,31.01.2022,USA Network,"Byron Saxton, Corey Graves & Jimmy Smith",5.562,
333205,WWE Monday Night RAW #1496,6.85,WWE Monday Night RAW #1496,24.01.2022,World Wrestling Entertainment,TV-Show,"Toledo, Ohio, USA",Huntington Center,Live,24.01.2022,USA Network,"Byron Saxton, Corey Graves & Jimmy Smith",6.302,
333203,WWE Monday Night RAW #1495,4.83,WWE Monday Night RAW #1495,17.01.2022,World Wrestling Entertainment,TV-Show,"Tulsa, Oklahoma, USA",BOK Center,Live,17.01.2022,USA Network,"Byron Saxton, Corey Graves & Jimmy Smith",ca. 4.400,
333201,WWE Monday Night RAW #1494,6.83,WWE Monday Night RAW #1494,10.01.2022,World Wrestling Entertainment,TV-Show,"Philadelphia, Pennsylvania, USA",Wells Fargo Center,Live,10.01.2022,USA Network,"Byron Saxton, Corey Graves, Jimmy Smith & Becky Lynch",ca. 5.700,
333199,WWE Monday Night RAW #1493,5.43,WWE Monday Night RAW #1493,03.01.2022,World Wrestling Entertainment,TV-Show,"Greenville, South Carolina, USA",Bon Secours Wellness Arena,Live,03.01.2022,USA Network,"Byron Saxton, Corey Graves & Jimmy Smith",ca. 5.200,
328583,WWE Monday Night RAW #1492,4.23,WWE Monday Night RAW #1492,27.12.2021,World Wrestling Entertainment,TV-Show,"Detroit, Michigan, USA",Little Caesars Arena,Live,27.12.2021,USA Network,"Byron Saxton, Corey Graves, Jimmy Smith & MVP",,
328581,WWE Monday Night RAW #1491,4.56,WWE Monday Night RAW #1491,20.12.2021,World Wrestling Entertainment,TV-Show,"Milwaukee, Wisconsin, USA",Fiserv Forum,Live,20.12.2021,USA Network,"Byron Saxton, Corey Graves & Jimmy Smith",ca. 5.200,
328579,WWE Monday Night RAW #1490,4.47,WWE Monday Night RAW #1490,13.12.2021,World Wrestling Entertainment,TV-Show,"St. Paul, Minnesota, USA",Xcel Energy Center,Live,13.12.2021,USA Network,"Byron Saxton, Corey Graves & Jimmy Smith",ca. 5.200,
328577,WWE Monday Night RAW #1489,6.34,WWE Monday Night RAW #1489,06.12.2021,World Wrestling Entertainment,TV-Show,"Memphis, Tennessee, USA",FedExForum,Live,06.12.2021,USA Network,"Byron Saxton, Corey Graves, Jimmy Smith & Riddle",ca. 5.500,
328575,WWE Monday Night RAW #1488,6.09,WWE Monday Night RAW #1488,29.11.2021,World Wrestling Entertainment,TV-Show,"Elmont, New York, USA",UBS Arena,Live,29.11.2021,USA Network,"AJ Styles, Byron Saxton, Corey Graves, Jimmy Smith & Seth Rollins",ca. 5.900,
328573,WWE Monday Night RAW #1487,5.59,WWE Monday Night RAW #1487,22.11.2021,World Wrestling Entertainment,TV-Show,"New York City, New York, USA",Barclays Center,Live,22.11.2021,USA Network,"Byron Saxton, Corey Graves & Jimmy Smith",,
324532,WWE Monday Night RAW #1486,4.94,WWE Monday Night RAW #1486,15.11.2021,World Wrestling Entertainment,TV-Show,"Indianapolis, Indiana, USA",Gainbridge Fieldhouse,Live,15.11.2021,USA Network,"Byron Saxton, Corey Graves, Jimmy Smith & Seth Rollins",ca. 5.900,
324530,WWE Monday Night RAW #1485,6.25,WWE Monday Night RAW #1485,08.11.2021,World Wrestling Entertainment,TV-Show,"Louisville, Kentucky, USA",KFC Yum! Center,Live,08.11.2021,USA Network,"Becky Lynch, Byron Saxton, Corey Graves & Jimmy Smith",5.238,
324528,WWE Monday Night RAW #1484,8.37,WWE Monday Night RAW #1484,01.11.2021,World Wrestling Entertainment,TV-Show,"Providence, Rhode Island, USA",Dunkin' Donuts Center,Live,01.11.2021,USA Network,"Byron Saxton, Corey Graves, Jimmy Smith, Randy Orton & Riddle",6.076,
324526,WWE Monday Night RAW #1483,6.93,WWE Monday Night RAW #1483,25.10.2021,World Wrestling Entertainment,TV-Show,"Houston, Texas, USA",Toyota Center,Live,25.10.2021,USA Network,"Byron Saxton, Corey Graves & Jimmy Smith",ca. 8.850,
320637,WWE Monday Night RAW #1482,4.43,WWE Monday Night RAW #1482,18.10.2021,World Wrestling Entertainment,TV-Show,"Sacramento, California, USA",Golden 1 Center,Live,18.10.2021,USA Network,"Byron Saxton, Corey Graves & Jimmy Smith",ca. 7.400,
324524,WWE Monday Night RAW #1481,3.32,WWE Monday Night RAW #1481,11.10.2021,World Wrestling Entertainment,TV-Show,"San Francisco, California, USA",Chase Center,Live,11.10.2021,USA Network,"Byron Saxton, Corey Graves & Jimmy Smith",4.031,
320624,WWE Monday Night RAW #1480,5.24,WWE Monday Night RAW #1480,04.10.2021,World Wrestling Entertainment,TV-Show,"Nashville, Tennessee, USA",Bridgestone Arena,Live,04.10.2021,USA Network,"Becky Lynch, Byron Saxton, Corey Graves & Jimmy Smith",ca. 5.400,
317701,WWE Monday Night RAW #1479,7.49,WWE Monday Night RAW #1479,27.09.2021,World Wrestling Entertainment,TV-Show,"Cincinnati, Ohio, USA",Heritage Bank Center,Live,27.09.2021,USA Network,"Byron Saxton, Corey Graves & Jimmy Smith",5.473,
317700,WWE Monday Night RAW #1478,8.21,WWE Monday Night RAW #1478,20.09.2021,World Wrestling Entertainment,TV-Show,"Raleigh, North Carolina, USA",PNC Arena,Live,20.09.2021,USA Network,"Byron Saxton, Corey Graves, Damian Priest & Jimmy Smith",7.956,
317699,WWE Monday Night RAW #1477,7.38,WWE Monday Night RAW #1477,13.09.2021,World Wrestling Entertainment,TV-Show,"Boston, Massachusetts, USA",TD Garden,Live,13.09.2021,USA Network,"Byron Saxton, Corey Graves, Jimmy Smith & Sheamus",ca. 8.100,
317698,WWE Monday Night RAW #1476,5.7,WWE Monday Night RAW #1476,06.09.2021,World Wrestling Entertainment,TV-Show,"Miami, Florida, USA",FTX Arena,Live,06.09.2021,USA Network,"Byron Saxton, Corey Graves & Jimmy Smith",6.490,
317732,WWE Monday Night RAW #1475,6.05,WWE Monday Night RAW #1475,30.08.2021,World Wrestling Entertainment,TV-Show,"Oklahoma City, Oklahoma, USA",Paycom Center,Live,30.08.2021,USA Network,"AJ Styles, Byron Saxton, Corey Graves & Jimmy Smith",4.818,
317697,WWE Monday Night RAW #1474,5.55,WWE Monday Night RAW #1474,23.08.2021,World Wrestling Entertainment,TV-Show,"San Diego, California, USA",Pechanga Arena,Live,23.08.2021,USA Network,"Byron Saxton, Corey Graves & Jimmy Smith",ca. 7.000,
