,date,promotion,draw,winners,winning_teams,losers,losing_teams,drawers,drawing_teams,length,location,show,gender
0,2022-04-06,All Elite Wrestling,False,Bryan Danielson,,Trent Beretta,,,,819,"Agganis Arena in Boston, Massachusetts, USA",AEW Rampage #36,male
1,2022-04-06,All Elite Wrestling,False,Jon Moxley,,Wheeler Yuta,,,,760,"Agganis Arena in Boston, Massachusetts, USA",AEW Rampage #36,male
2,2022-04-06,All Elite Wrestling,False,Swerve Strickland,,QT Marshall,,,,368,"Agganis Arena in Boston, Massachusetts, USA",AEW Rampage #36,male
3,2022-04-06,All Elite Wrestling,False,Red Velvet,,Willow Nightingale,,,,316,"Agganis Arena in Boston, Massachusetts, USA",AEW Rampage #36,female
4,2022-03-30,All Elite Wrestling,False,"Brody King,Buddy Matthews,Malakai Black",House Of Black,"Evil Uno,Stu Grayson",The Dark Order,,,435,"Colonial Life Arena in Columbia, South Carolina, USA",AEW Rampage #35,male
5,2022-03-30,All Elite Wrestling,False,Keith Lee,,Powerhouse Hobbs,,,,653,"Colonial Life Arena in Columbia, South Carolina, USA",AEW Rampage #35,male
6,2022-03-30,All Elite Wrestling,False,"Matt Jackson,Nick Jackson",The Young Bucks,"Dante Martin,Darius Martin",Top Flight,,,648,"Colonial Life Arena in Columbia, South Carolina, USA",AEW Rampage #35,male
7,2022-03-30,All Elite Wrestling,False,Jamie Hayter,,Skye Blue,,,,336,"Colonial Life Arena in Columbia, South Carolina, USA",AEW Rampage #35,female
8,2022-03-23,All Elite Wrestling,False,Dustin Rhodes,,Lance Archer,,,,572,"H-E-B Center in Cedar Park, Texas, USA",AEW Rampage #34,male
9,2022-03-23,All Elite Wrestling,False,Nyla Rose,,Madi Wrenkowski,,,,38,"H-E-B Center in Cedar Park, Texas, USA",AEW Rampage #34,female
10,2022-03-23,All Elite Wrestling,False,"Bobby Fish,Kyle O'Reilly",reDRagon,"Alan Angels,Ten",The Dark Order,,,420,"H-E-B Center in Cedar Park, Texas, USA",AEW Rampage #34,male
11,2022-03-23,All Elite Wrestling,False,Ricky Starks,,Swerve Strickland,,,,687,"H-E-B Center in Cedar Park, Texas, USA",AEW Rampage #34,male
12,2022-03-16,All Elite Wrestling,False,Darby Allin,,The Butcher,,,,641,"Freeman Coliseum in San Antonio, Texas, USA",AEW Rampage #33,male
13,2022-03-16,All Elite Wrestling,False,"Brody King,Buddy Matthews,Malakai Black",House Of Black,"Bear Boulder,Bear Bronson,Fuego Del Sol",Bear Country,,,202,"Freeman Coliseum in San Antonio, Texas, USA",AEW Rampage #33,male
14,2022-03-16,All Elite Wrestling,False,Keith Lee,,Max Caster,,,,586,"Freeman Coliseum in San Antonio, Texas, USA",AEW Rampage #33,male
15,2022-03-16,All Elite Wrestling,False,Red Velvet,,Leyla Hirsch,,,,480,"Freeman Coliseum in San Antonio, Texas, USA",AEW Rampage #33,female
16,2022-03-09,All Elite Wrestling,False,Darby Allin,,Marq Quen,,,,715,"Hertz Arena in Fort Myers, Florida, USA",AEW Rampage #32,male
17,2022-03-09,All Elite Wrestling,False,Jamie Hayter,,Mercedes Martinez,,,,522,"Hertz Arena in Fort Myers, Florida, USA",AEW Rampage #32,female
18,2022-03-09,All Elite Wrestling,False,Keith Lee,,QT Marshall,,,,245,"Hertz Arena in Fort Myers, Florida, USA",AEW Rampage #32,male
19,2022-03-09,All Elite Wrestling,False,Swerve Strickland,,Tony Nese,,,,778,"Hertz Arena in Fort Myers, Florida, USA",AEW Rampage #32,male
20,2022-03-04,All Elite Wrestling,False,Keith Lee,,JD Drake,,,,350,"Addition Financial Arena in Orlando, Florida, USA",AEW Rampage #31,male
21,2022-03-04,All Elite Wrestling,False,Sammy Guevara,,"Andrade El Idolo,Darby Allin",,,,792,"Addition Financial Arena in Orlando, Florida, USA",AEW Rampage #31,male
22,2022-03-04,All Elite Wrestling,False,Christian Cage,,Ethan Page,,,,537,"Addition Financial Arena in Orlando, Florida, USA",AEW Rampage #31,male
23,2022-03-04,All Elite Wrestling,False,Serena Deeb,,Leila Grey,,,,58,"Addition Financial Arena in Orlando, Florida, USA",AEW Rampage #31,female
24,2022-02-23,All Elite Wrestling,False,Wardlow,,Nick Comoroto,,,,385,"Webster Bank Arena in Bridgeport, Connecticut, USA",AEW Rampage #30,male
25,2022-02-23,All Elite Wrestling,False,Sammy Guevara,,Andrade El Idolo,,,,743,"Webster Bank Arena in Bridgeport, Connecticut, USA",AEW Rampage #30,male
26,2022-02-23,All Elite Wrestling,False,Orange Cassidy,,Anthony Bowens,,,,615,"Webster Bank Arena in Bridgeport, Connecticut, USA",AEW Rampage #30,male
27,2022-02-23,All Elite Wrestling,False,Serena Deeb,,Kayla Sparks,,,,149,"Webster Bank Arena in Bridgeport, Connecticut, USA",AEW Rampage #30,female
28,2022-02-16,All Elite Wrestling,False,Adam Cole,,Ten,,,,592,"Nashville Municipal Auditorium in Nashville, Tennessee, USA",AEW Rampage #29 - Slam Dunk,male
29,2022-02-16,All Elite Wrestling,False,Jay White,,Trent Beretta,,,,911,"Nashville Municipal Auditorium in Nashville, Tennessee, USA",AEW Rampage #29 - Slam Dunk,male
30,2022-02-16,All Elite Wrestling,False,Powerhouse Hobbs,,Dante Martin,,,,569,"Nashville Municipal Auditorium in Nashville, Tennessee, USA",AEW Rampage #29 - Slam Dunk,male
31,2022-02-16,All Elite Wrestling,False,Serena Deeb,,Angelica Risk,,,,124,"Nashville Municipal Auditorium in Nashville, Tennessee, USA",AEW Rampage #29 - Slam Dunk,female
32,2022-02-09,All Elite Wrestling,False,Dr. Britt Baker DMD,,Robyn Renegade,,,,388,"Jim Whelan Boardwalk Hall in Atlantic City, New Jersey, USA",AEW Rampage #28,female
33,2022-02-09,All Elite Wrestling,False,Hook,,Blake Li,,,,171,"Jim Whelan Boardwalk Hall in Atlantic City, New Jersey, USA",AEW Rampage #28,male
34,2022-02-09,All Elite Wrestling,False,"Matt Jackson,Nick Jackson",The Young Bucks,"Rocky Romero,Trent Beretta",Roppongi Vice,,,803,"Jim Whelan Boardwalk Hall in Atlantic City, New Jersey, USA",AEW Rampage #28,male
35,2022-02-09,All Elite Wrestling,False,"Jungle Boy,Luchasaurus",Jurassic Express,"Austin Gunn,Colten Gunn",The Gunn Club,,,749,"Jim Whelan Boardwalk Hall in Atlantic City, New Jersey, USA",AEW Rampage #28,male
36,2022-02-02,All Elite Wrestling,False,Adam Cole,,Evil Uno,,,,148,"Wintrust Arena in Chicago, Illinois, USA",AEW Rampage #27,male
37,2022-02-02,All Elite Wrestling,False,Thunder Rosa,,Mercedes Martinez,,,,461,"Wintrust Arena in Chicago, Illinois, USA",AEW Rampage #27,female
38,2022-02-02,All Elite Wrestling,False,Sammy Guevara,,Isiah Kassidy,,,,554,"Wintrust Arena in Chicago, Illinois, USA",AEW Rampage #27,male
39,2022-02-02,All Elite Wrestling,False,Ricky Starks,,Jay Lethal,,,,771,"Wintrust Arena in Chicago, Illinois, USA",AEW Rampage #27,male
40,2022-01-26,All Elite Wrestling,False,"Cash Wheeler,Dax Harwood",FTR,"Brock Anderson,Lee Johnson",The Nightmare Family,,,550,"Wolstein Center in Cleveland, Ohio, USA",AEW Rampage #26 - Beach Break Championship Friday,male
41,2022-01-26,All Elite Wrestling,False,Jon Moxley,,Anthony Bowens,,,,722,"Wolstein Center in Cleveland, Ohio, USA",AEW Rampage #26 - Beach Break Championship Friday,male
42,2022-01-26,All Elite Wrestling,False,Jade Cargill,,Julia Hart,,,,148,"Wolstein Center in Cleveland, Ohio, USA",AEW Rampage #26 - Beach Break Championship Friday,female
43,2022-01-26,All Elite Wrestling,False,"Jungle Boy,Luchasaurus",Jurassic Express,"Isiah Kassidy,Marq Quen",Private Party,,,645,"Wolstein Center in Cleveland, Ohio, USA",AEW Rampage #26 - Beach Break Championship Friday,male
44,2022-01-21,All Elite Wrestling,False,Hook,,Serpentico,,,,70,"Entertainment & Sports Arena in Washington, District Of Columbia, USA",AEW Rampage #25,male
45,2022-01-21,All Elite Wrestling,False,Jon Moxley,,Ethan Page,,,,615,"Entertainment & Sports Arena in Washington, District Of Columbia, USA",AEW Rampage #25,male
46,2022-01-21,All Elite Wrestling,False,Trent Beretta,,Nick Jackson,,,,780,"Entertainment & Sports Arena in Washington, District Of Columbia, USA",AEW Rampage #25,male
47,2022-01-21,All Elite Wrestling,False,Jade Cargill,,Anna Jay,,,,525,"Entertainment & Sports Arena in Washington, District Of Columbia, USA",AEW Rampage #25,female
48,2022-01-12,All Elite Wrestling,False,Adam Cole,,Trent Beretta,,,,694,"PNC Arena in Raleigh, North Carolina, USA",AEW Rampage #24,male
49,2022-01-12,All Elite Wrestling,False,"Nyla Rose,Penelope Ford,The Bunny",,"Kris Statlander,Leyla Hirsch,Red Velvet",,,,492,"PNC Arena in Raleigh, North Carolina, USA",AEW Rampage #24,female
50,2022-01-12,All Elite Wrestling,False,Shawn Spears,,Andrew Everett,,,,57,"PNC Arena in Raleigh, North Carolina, USA",AEW Rampage #24,male
51,2022-01-12,All Elite Wrestling,False,"Jungle Boy,Luchasaurus",Jurassic Express,"Alex Reynolds,John Silver",The Dark Order,,,757,"PNC Arena in Raleigh, North Carolina, USA",AEW Rampage #24,male
52,2022-01-05,All Elite Wrestling,False,Adam Cole,,Jake Atlas,,,,579,"Prudential Center in Newark, New Jersey, USA",AEW Rampage #23,male
53,2022-01-05,All Elite Wrestling,False,Hook,,Aaron Solo,,,,199,"Prudential Center in Newark, New Jersey, USA",AEW Rampage #23,male
54,2022-01-05,All Elite Wrestling,False,"Riho,Ruby Soho",,"Dr. Britt Baker DMD,Jamie Hayter",,,,490,"Prudential Center in Newark, New Jersey, USA",AEW Rampage #23,female
55,2022-01-05,All Elite Wrestling,False,"Ortiz,Santana,Eddie Kingston",The Inner Circle,"Jeff Parker,Matt Lee,Daniel Garcia",2point0,,,830,"Prudential Center in Newark, New Jersey, USA",AEW Rampage #23,male
56,2021-12-29,All Elite Wrestling,False,Darby Allin,,Anthony Bowens,,,,663,"Daily's Place in Jacksonville, Florida, USA",AEW Rampage #22 - New Year's Smash,male
57,2021-12-29,All Elite Wrestling,False,Cody Rhodes,,Ethan Page,,,,853,"Daily's Place in Jacksonville, Florida, USA",AEW Rampage #22 - New Year's Smash,male
58,2021-12-29,All Elite Wrestling,False,"Anna Jay,Tay Conti",TayJay,"Penelope Ford,The Bunny",,,,642,"Daily's Place in Jacksonville, Florida, USA",AEW Rampage #22 - New Year's Smash,female
59,2021-12-22,All Elite Wrestling,False,Hook,,Bear Bronson,,,,187,"Greensboro Coliseum in Greensboro, North Carolina, USA",AEW Rampage #21 - Holiday Bash,male
60,2021-12-22,All Elite Wrestling,False,Jungle Boy,,Isiah Kassidy,,,,536,"Greensboro Coliseum in Greensboro, North Carolina, USA",AEW Rampage #21 - Holiday Bash,male
61,2021-12-22,All Elite Wrestling,False,Kris Statlander,,Leyla Hirsch,,,,384,"Greensboro Coliseum in Greensboro, North Carolina, USA",AEW Rampage #21 - Holiday Bash,female
62,2021-12-22,All Elite Wrestling,False,Cody Rhodes,,Sammy Guevara,,,,910,"Greensboro Coliseum in Greensboro, North Carolina, USA",AEW Rampage #21 - Holiday Bash,male
