id,date,text,hashtags,name_mentions,handle_mentions,source,likes,retweets
1525899226739261444,2022-05-15 18:01:40+00:00,"Watch @AlexaBliss_WWE’ best WWE moments, from winning Money in the Bank to her 2022 #WWERaw return. https://t.co/4Tfz6oJxpD",WWERaw,Lexi (Kaufman) Cabrera,AlexaBliss_WWE,Sprinklr Publishing,404,83
1525868617132298240,2022-05-15 16:00:02+00:00,Who snapped the most must-see Instagram photos of the week? 📸 https://t.co/Kt2i8bwu54 https://t.co/ptgbso0w4p,,,,Sprinklr Publishing,1344,119
1525853518879391745,2022-05-15 15:00:02+00:00,3️⃣0️⃣0️⃣ days and counting for @WWEUsos' historic #SmackDown Tag Team Title reign https://t.co/9uryKJOREL,SmackDown,The Usos,WWEUsos,Sprinklr Publishing,6742,808
1525823324160417793,2022-05-15 13:00:03+00:00,Celebrate #InternationalFamilyDay with some great sports-entertainment families! https://t.co/gD9N0euxrP,InternationalFamilyDay,,,Sprinklr Publishing,4914,440
1525816004172988419,2022-05-15 12:30:58+00:00,"#RKBro rolls into #SmackDown looking for an answer from The @WWEUsos, and @SuperKingofBros makes a statement at the… https://t.co/KkaZENAYst","RKBro,SmackDown","The Usos,matthew riddle","WWEUsos,SuperKingofBros",Sprinklr Publishing,682,116
1525800840719638530,2022-05-15 11:30:43+00:00,"Reunited with @WWESheamus &amp; @RidgeWWE, Butch battles with @TrueKofi in a highly personal showdown. #SmackDown https://t.co/e6t1IZ4DmL",SmackDown,"Sheamus,Ridge Holland,🎅🏿 Sir Kofi Krampus 🎅🏿","WWESheamus,RidgeWWE,TrueKofi",Sprinklr Publishing,353,54
1525785676188360705,2022-05-15 10:30:27+00:00,"Despite some inspirational advice from Intercontinental Champion @KingRicochet, @DrewGulak suffers the wrath of… https://t.co/FOCsBGZoHM",,"Ricochet,Drew Gulak","KingRicochet,DrewGulak",Sprinklr Publishing,381,56
1525770707233394689,2022-05-15 09:30:58+00:00,"In the wake of his victory over Happy @BaronCorbinWWE at #WMBacklash, @MadcapMoss suffers a brutal assault at the h… https://t.co/pFhmTwVHOM",WMBacklash,"mayor of jackpot city,Madcap Moss","BaronCorbinWWE,MadcapMoss",Sprinklr Publishing,410,57
1525755550734090241,2022-05-15 08:30:45+00:00,.@SashaBanksWWE &amp; @NaomiWWE take on @QoSBaszler and @NatbyNature for the coveted WWE Women’s Tag Team Championship.… https://t.co/hwY98MT0nE,,"Mercedes Varnado,Trinity Fatu,Shayna Baszler,Nattie","SashaBanksWWE,NaomiWWE,QoSBaszler,NatbyNature",Sprinklr Publishing,588,124
1525740447666143232,2022-05-15 07:30:44+00:00,.@RondaRousey sets out to remind everyone that she is a fighting champion when she puts the #SmackDown Women’s Titl… https://t.co/OlrTvyDq3x,SmackDown,Ronda Rousey,RondaRousey,Sprinklr Publishing,644,93
1525725341498724353,2022-05-15 06:30:42+00:00,"After @RondaRousey made @MsCharlotteWWE say “I quit” at #WMBacklash, @RaquelWWE answers the open challenge for an o… https://t.co/pOxFq9xjB3",WMBacklash,"Ronda Rousey,Charlotte Flair,Raquel","RondaRousey,MsCharlotteWWE,RaquelWWE",Sprinklr Publishing,634,102
1525710178670223360,2022-05-15 05:30:27+00:00,"Look back at all the action as @RondaRousey makes @MsCharlotteWWE say “I Quit” at #WMBacklash.
#SmackDown https://t.co/9kvXF0sR0y","WMBacklash,SmackDown","Ronda Rousey,Charlotte Flair","RondaRousey,MsCharlotteWWE",Sprinklr Publishing,703,143
1525695127733280768,2022-05-15 04:30:39+00:00,.@SuperKingofBros goes head-to-head with @SamiZayn in an impromptu one-on-one showdown. #SmackDown https://t.co/jVd3Rd5vFw,SmackDown,"matthew riddle,Sami Zayn","SuperKingofBros,SamiZayn",Sprinklr Publishing,646,89
1525680066067320832,2022-05-15 03:30:48+00:00,"#WWERaw Tag Team Champions #RKBro come to #SmackDown looking for #TheBloodline, but instead get a run-in from… https://t.co/gdfVsYdKwT","WWERaw,RKBro,SmackDown,TheBloodline",,,Sprinklr Publishing,667,107
1525629867542315008,2022-05-15 00:11:19+00:00,An entrance so good… even @WWERomanReigns approves. @WWEUsos @HeymanHustle @tiktok_us https://t.co/ba7lyqRyVp,,"Roman Reigns,The Usos,Paul Heyman,TikTok","WWERomanReigns,WWEUsos,HeymanHustle,tiktok_us",Twitter for iPhone,22524,3316
1525582357570502658,2022-05-14 21:02:32+00:00,"From @RondaRousey issuing an open challenge, @SamiZayn and @SuperKingofBros going head-to-head and more on another… https://t.co/gErB9krRge",,"Ronda Rousey,Sami Zayn,matthew riddle","RondaRousey,SamiZayn,SuperKingofBros",Sprinklr Publishing,670,109
1525566705480646663,2022-05-14 20:00:20+00:00,"That's one way to acknowledge @WWERomanReigns 😬. #SmackDown 
@SuperKingofBros @RandyOrton https://t.co/UdP8FBsSyQ",SmackDown,"Roman Reigns,matthew riddle,Randy Orton","WWERomanReigns,SuperKingofBros,RandyOrton",Sprinklr Publishing,2133,277
1525551603662585857,2022-05-14 19:00:20+00:00,.@RaquelWWE was THIS close to becoming #SmackDown Women's Champion. @RondaRousey https://t.co/I8aXWW6vPk,SmackDown,"Raquel,Ronda Rousey","RaquelWWE,RondaRousey",Sprinklr Publishing,859,122
1525536498929610756,2022-05-14 18:00:19+00:00,.@SashaBanksWWE &amp; @NaomiWWE still run things around here. #SmackDown https://t.co/XcFG0yw2a5,SmackDown,"Mercedes Varnado,Trinity Fatu","SashaBanksWWE,NaomiWWE",Sprinklr Publishing,922,151
1525528985869996032,2022-05-14 17:30:27+00:00,"With @The305MVP locked outside, The #AllMighty @fightbobby looks to topple @TheGiantOmos inside a STEEL CAGE this M… https://t.co/773AnTNkM3",AllMighty,"MVP,Bobby Lashley,Jordan omogbehin","The305MVP,fightbobby,TheGiantOmos",Sprinklr Publishing,614,103
1525515117227610112,2022-05-14 16:35:21+00:00,.@BaronCorbinWWE is all smiles after learning the extent of the injuries he caused to @MadcapMoss on #SmackDown. https://t.co/DPHMD6B5EX,SmackDown,"mayor of jackpot city,Madcap Moss","BaronCorbinWWE,MadcapMoss",Sprinklr Publishing,469,85
1525514009214066691,2022-05-14 16:30:57+00:00,"Happy @BaronCorbinWWE gloats about sidelining @MadcapMoss, @SamiZayn praises his own bravery and @RaquelWWE comment… https://t.co/yBCDRwKh3M",,"mayor of jackpot city,Madcap Moss,Sami Zayn,Raquel","BaronCorbinWWE,MadcapMoss,SamiZayn,RaquelWWE",Sprinklr Publishing,381,83
1525508745576472576,2022-05-14 16:10:02+00:00,"As first reported on #TalkingSmack, @BaronCorbinWWE's attack has left @MadcapMoss with a cervical contusion. https://t.co/VIxDQ93yBu",TalkingSmack,"mayor of jackpot city,Madcap Moss","BaronCorbinWWE,MadcapMoss",Sprinklr Publishing,2964,251
1525491201125801988,2022-05-14 15:00:19+00:00,"We put submission expert @DrewGulak's knowledge to the test! 

@tiktok_us https://t.co/GO8p0NX2kn",,"Drew Gulak,TikTok","DrewGulak,tiktok_us",Sprinklr Publishing,921,113
1525476031888510976,2022-05-14 14:00:02+00:00,.@EdgeRatedR's new look 👀 https://t.co/A8lYuAtitY,,Adam (Edge) Copeland,EdgeRatedR,Sprinklr Publishing,12461,668
1525340131204517889,2022-05-14 05:00:01+00:00,"#RKBro lands first strike on #TheBloodline before next week’s Title Unification battle on #SmackDown 

Full results… https://t.co/9T8jj9TBvi","RKBro,TheBloodline,SmackDown",,,Sprinklr Publishing,3262,307
1525323534339284992,2022-05-14 03:54:04+00:00,UPDATE: @MadcapMoss was transported to a local medical facility for further evaluation following tonight's attack b… https://t.co/ZMvTTtG4Hw,,Madcap Moss,MadcapMoss,Sprinklr Publishing,1354,136
1525307813966364673,2022-05-14 02:51:36+00:00,"#RKBro and the @WWEUsos are set to meet for all the gold NEXT WEEK on #SmackDown!

@RandyOrton @SuperKingofBros 

https://t.co/6iW3FtSyiO","RKBro,SmackDown","The Usos,Randy Orton,matthew riddle","WWEUsos,RandyOrton,SuperKingofBros",Sprinklr Publishing,1470,263
1525307384863805447,2022-05-14 02:49:54+00:00,The Women’s Tag Team Champions send a message to any tandems ready to challenge them for the titles. #SmackDown… https://t.co/lqldGcEYm9,SmackDown,,,Sprinklr Publishing,1560,351
1525295754532773888,2022-05-14 02:03:41+00:00,"#RKBro issues a challenge to #TheBloodline, and they accept…! #SmackDown @RandyOrton @SuperKingofBros @WWEUsos… https://t.co/ZwW1kU9N6I","RKBro,TheBloodline,SmackDown","Randy Orton,matthew riddle,The Usos","RandyOrton,SuperKingofBros,WWEUsos",Grabyo,2892,516
