,rank_arrow,rating,name,wins,losses,draws,win_ratio
0,1,2144,Roman Reigns,308,106,26,70.0%
1,2,2091,Brock Lesnar,92,47,5,63.9%
2,3,2007,Bobby Lashley,212,100,10,65.8%
3,4,2005,Drew McIntyre,210,246,22,43.9%
4,5,1986,John Cena,471,195,31,67.6%
5,6,1982,Edge,347,288,43,51.2%
6,7,1941,Seth Rollins,307,221,19,56.1%
7,"8 <span data-toggle=""tooltip"" title=""Previous Rank: #9,  1892 Elo (14 days ago)"">
  <svg xmlns=""http://www.w3.org/2000/svg"" width=""16"" height=""16"" fill=""green"" class=""bi bi-caret-up-fill"" viewBox=""0 0 16 16"">
      <path d=""m7.247 4.86-4.796 5.481c-.566.647-.106 1.659.753 1.659h9.592a1 1 0 0 0 .753-1.659l-4.796-5.48a1 1 0 0 0-1.506 0z""/>
  </svg>
</span>",1901,Gunther,56,16,1,76.7%
8,"9 <span data-toggle=""tooltip"" title=""Previous Rank: #8,  1895 Elo (14 days ago)"">
  <svg xmlns=""http://www.w3.org/2000/svg"" width=""16"" height=""16"" fill=""red"" class=""bi bi-caret-down-fill"" viewBox=""0 0 16 16"">
    <path d=""M7.247 11.14 2.451 5.658C1.885 5.013 2.345 4 3.204 4h9.592a1 1 0 0 1 .753 1.659l-4.796 5.48a1 1 0 0 1-1.506 0z""/>
  </svg>
</span>",1895,Omos,37,21,0,63.8%
9,10,1877,Windham Rotunda,134,92,4,58.3%
10,11,1874,Adam Scherr,143,72,12,63.0%
11,12,1847,Kevin Owens,177,173,13,48.8%
12,13,1826,Jimmy Uso,308,234,13,55.5%
13,14,1820,Theory,44,58,1,42.7%
14,"15 <span data-toggle=""tooltip"" title=""Previous Rank: #22,  1756 Elo (14 days ago)"">
  <svg xmlns=""http://www.w3.org/2000/svg"" width=""16"" height=""16"" fill=""green"" class=""bi bi-caret-up-fill"" viewBox=""0 0 16 16"">
      <path d=""m7.247 4.86-4.796 5.481c-.566.647-.106 1.659.753 1.659h9.592a1 1 0 0 0 .753-1.659l-4.796-5.48a1 1 0 0 0-1.506 0z""/>
  </svg>
</span>",1787,Finn Balor,171,97,2,63.3%
15,"16 <span data-toggle=""tooltip"" title=""Previous Rank: #17,  1768 Elo (14 days ago)"">
  <svg xmlns=""http://www.w3.org/2000/svg"" width=""16"" height=""16"" fill=""green"" class=""bi bi-caret-up-fill"" viewBox=""0 0 16 16"">
      <path d=""m7.247 4.86-4.796 5.481c-.566.647-.106 1.659.753 1.659h9.592a1 1 0 0 0 .753-1.659l-4.796-5.48a1 1 0 0 0-1.506 0z""/>
  </svg>
</span>",1768,Veer Mahaan,38,8,0,82.6%
16,"16 <span data-toggle=""tooltip"" title=""Previous Rank: #17,  1768 Elo (14 days ago)"">
  <svg xmlns=""http://www.w3.org/2000/svg"" width=""16"" height=""16"" fill=""green"" class=""bi bi-caret-up-fill"" viewBox=""0 0 16 16"">
      <path d=""m7.247 4.86-4.796 5.481c-.566.647-.106 1.659.753 1.659h9.592a1 1 0 0 0 .753-1.659l-4.796-5.48a1 1 0 0 0-1.506 0z""/>
  </svg>
</span>",1768,Xavier Woods,148,137,8,50.5%
