id,date,text,hashtags,name_mentions,handle_mentions,source,likes,retweets
1539322259696979968,2022-06-21 19:00:00+00:00,"Hey, wait a minute!

@_Theory1 @fightbobby
#NationalSelfieDay https://t.co/eORJMJv8q9",NationalSelfieDay,"Theory,Bobby Lashley","_Theory1,fightbobby",Twitter Media Studio,795,57
1539307158847705089,2022-06-21 18:00:00+00:00,"TONIGHT on #WWENXT 2.0

@Carmelo_WWE vs. @TonyDangeloWWE
North American Championship

📺 8/7c @USA_Network https://t.co/IIxkXKgmDD",WWENXT,"Carmelo Hayes,Tony D’Angelo,USA Network","Carmelo_WWE,TonyDangeloWWE,USA_Network",Twitter Media Studio,249,43
1539292068459204608,2022-06-21 17:00:02+00:00,Who has the best selfie game in WWE? 🤳 #NationalSelfieDay,NationalSelfieDay,,,TweetDeck,721,74
1539284512538079232,2022-06-21 16:30:00+00:00,"🚨 @DoudropWWE is ready for #WWECastle. Are you?

If you're in the U.S. or United Kingdom, YOU can enter to win two… https://t.co/XzCjDALf94",WWECastle,Miss Drop 💦,DoudropWWE,Twitter Media Studio,303,46
1539276967576342530,2022-06-21 16:00:02+00:00,"Hey @WWERollins, @DMcIntyreWWE and @WWESheamus ... are you ready for @TheGiantOmos in the #MITB Ladder Match?!

🎟… https://t.co/L7qyx7spEH",MITB,"Seth “MR. MITB” Rollins,Drew McIntyre,Sheamus,Jordan omogbehin","WWERollins,DMcIntyreWWE,WWESheamus,TheGiantOmos",Twitter Media Studio,2172,220
1539261875334037505,2022-06-21 15:00:03+00:00,Can @CarmellaWWE become the NEW #WWERaw Women's Champion at #MITB or will @BiancaBelairWWE show why she is the EST… https://t.co/aOLIqCu8O4,"WWERaw,MITB","Mella Is Money 🤑,Bianca Belair","CarmellaWWE,BiancaBelairWWE",Twitter Media Studio,1710,200
1539194196741038082,2022-06-21 10:31:08+00:00,"THIS FRIDAY on #SmackDown

Can The Bloodline stop @BrockLesnar?

@WWERomanReigns @WWEUsos @HeymanHustle https://t.co/4Fxcuexf4S",SmackDown,"Brock Lesnar,Roman Reigns,The Usos,Paul Heyman","BrockLesnar,WWERomanReigns,WWEUsos,HeymanHustle",Grabyo,1112,181
1539096274011664384,2022-06-21 04:02:01+00:00,"EXCLUSIVE: Moments after losing to @WWEAsuka, a despondent @BeckyLynchWWE refuses to respond to @sarahschreib’s que… https://t.co/nFO0EWeaMa",,"ASUKA / 明日華,The Man,Sarah Schreiber","WWEAsuka,BeckyLynchWWE,sarahschreib",Sprinklr Publishing,1863,310
1539094143649054720,2022-06-21 03:53:33+00:00,EXCLUSIVE: @AJStylesOrg feels vindicated after his win over @NXTCiampa and is more than happy to beat up… https://t.co/uzN8OF6Ia1,,"AJ Styles,BLACKHEART","AJStylesOrg,NXTCiampa",Sprinklr Publishing,1309,197
1539089343184265218,2022-06-21 03:34:28+00:00,"NOTHING gets past @MaryseMizanin... NOTHING. #MizAndMrs 

@mikethemiz https://t.co/nGeKKmt1Vn",MizAndMrs,"Maryse Mizanin,The Miz","MaryseMizanin,mikethemiz",Grabyo,543,75
