id,name,rating,current_gimmick,age,promotion,brand,active_roles,birthplace,gender,height,weight,www,alter_egos,roles,debut,experience,wrestling_style,nicknames,signature_moves,trainer,background,career_end,day_of_death,active
3158,Wolfgang,6.89,Wolfgang,35.0,World Wrestling Entertainment,NXT UK,"Singles Wrestler,Tag Team Wrestler,WWE Development Wrestler","Glasgow, Scotland, UK",male,73.0,255.0,https://myspace.com/barry_wolfgang_young;http://www.facebook.com/WolfgangYoung;http://twitter.com/wolfgangyoung;https://www.instagram.com/wolfgangyoung_,Wolfgang,"Singles Wrestler,Tag Team Wrestler,Trainer,WWE Development Wrestler",20.02.2003,19.0,Allrounder,"The Last King Of Scotland,The Regulator","Damage Point,STD,Swanton Bomb,The Howling",,,,,True
7802,Noam Dar,7.51,Noam Dar,28.0,World Wrestling Entertainment,NXT UK,"Singles Wrestler,WWE Development Wrestler","Tel Aviv, Israel",male,69.0,169.0,https://www.facebook.com/noam.dar.1;http://twitter.com/NoamDar,Noam Dar,"Singles Wrestler,Tag Team Wrestler,WWE Development Wrestler",28.06.2008,13.0,Techniker,"The Israeli Icon,The Scottish Supernova",,"Colin McKay, Lionheart & Kid Fite",,,,True
2563,Sha Samuels,6.41,Sha Samuels,37.0,World Wrestling Entertainment,NXT UK,"Singles Wrestler,Tag Team Wrestler,WWE Development Wrestler","London, England, UK",male,73.0,235.0,http://www.facebook.com/sha.samuels;http://twitter.com/Shasamuels;http://www.facebook.com/ShasamuelsUK,"Sha Samuels,Ed Harvey,Sirius","Singles Wrestler,Tag Team Wrestler,WWE Development Wrestler",,,Allrounder,The East End Butcher,"Exploder Suplex,Lariat,Mongolian Chop",Dino Scarlo & Mel Stuart,,,,False
19713,Eliza Alexander,7.5,Eliza Alexander,23.0,World Wrestling Entertainment,NXT UK,WWE Development Wrestler,"Liverpool, Merseyside, England, UK",female,65.0,139.0,https://www.facebook.com/LizzyStyles;https://twitter.com/ElizaAlexanderr;https://instagram.com/ElizaAlexanderWWE,"Eliza Alexander,Lizzy Evo,Lizzy Styles","Singles Wrestler,WWE Development Wrestler",,,,The Princess Of Wrestling,Finish In Style,,,,,False
15660,Amale,6.27,Amale,28.0,World Wrestling Entertainment,NXT UK,"Singles Wrestler,WWE Development Wrestler","Beziers, Occitanie, Frankreich",female,64.0,,http://www.facebook.com/amale.winchester;https://twitter.com/AmaleFrenchHope;https://www.instagram.com/amale_french_hope,"Amale Winchester,Amale","Singles Wrestler,WWE Development Wrestler",01.07.2012,9.0,Techniker,French Hope,Spinning Reverse STO,,,,,False
24835,Lash Legend,,Lash Legend,25.0,World Wrestling Entertainment,NXT,Singles Wrestler,"Atlanta, Georgia, USA",female,72.0,,https://www.instagram.com/lashlegendwwe;https://twitter.com/lashlegendwwe,Lash Legend,Singles Wrestler,07.12.2021,0.0,,,,WWE Performance Center,,,,True
19462,Emilia McKenzie,7.58,Emilia McKenzie,21.0,World Wrestling Entertainment,NXT UK,"Singles Wrestler,Tag Team Wrestler,WWE Development Wrestler","Coventry, England, UK",female,66.0,128.0,https://www.facebook.com/Millie-McKenzie-1649827061940372;https://twitter.com/MMckenzieWWE;https://www.instagram.com/MMckenzieWWE/,"Emilia McKenzie,Millie McKenzie,Millie Marks","Singles Wrestler,Tag Team Wrestler,WWE Development Wrestler",17.10.2016,5.0,Techniker,,"Ace Crusher,German Suplex,Spear","Psycho Steve, Martin Zaki, Pete Dunne & Travis Banks",,,,False
25051,Myla Grace,,Myla Grace,29.0,Freelancer,,Singles Wrestler,"Belfast, Northern Ireland, UK",female,61.0,110.0,https://www.facebook.com/MylaGraceProWrestler;https://twitter.com/mylagrace_x;https://www.instagram.com/mylagrace_x;https://mylagraceofficial.bigcartel.com,"Myla Grace,Myla G",Singles Wrestler,2018,4.0,,,,,,,,False
6092,Mark Andrews ,8.16,Mark Andrews,30.0,World Wrestling Entertainment,NXT UK,"Singles Wrestler,Tag Team Wrestler,WWE Development Wrestler","Cardiff, Wales, UK",male,68.0,161.0,https://twitter.com/mandrewsjunior;https://www.instagram.com/mandrewsjunior,"Lightning Kid,Mark Andrews,Mandrews,Qefka The Quiet","Singles Wrestler,Tag Team Wrestler,WWE Development Wrestler",24.11.2006,15.0,High Flyer,"Lightning Kid,Mighty Morphin,White Lightning","Dragon Suplex,Top Rope Moonsault,Shooting Star Press","Edd Ferris, Jason Cross, Mike Bird & Zack Sabre Jr.",,,,False
13844,Kenny Williams,7.25,Kenny Williams,28.0,World Wrestling Entertainment,NXT UK,"Singles Wrestler,WWE Development Wrestler","Glasgow, Scotland, UK",male,69.0,180.0,https://www.facebook.com/Kenny-Williams-278958612297535/;https://twitter.com/KennyWilliamsUK,"Kenneth,Kenny Williams","Singles Wrestler,Tag Team Wrestler,WWE Development Wrestler",28.09.2012,9.0,High Flyer,The Lucky Yin,"Swinging DDT,Flying Back Elbow,Running Knee",PBW Academy (Kid Fite & TJ Rage) & Noam Dar,,,,False
